Birth control method,Brand/common name,Typical-use failure rate (%),Perfect-use failure rate (%),Type,Implementation,User action required,Initial Cost,Cost (per year)
Contraceptive implant,"Implanon/Nexplanon,[17] Jadelle,[18] the implant",000.050.05 (1 of 2000),000.050.05,Progestogen,Subdermal implant, 03.000  3-5 years,$0 - $,$0 - $
Vasectomy[17],male sterilization,000.150.15 (1 of 666),000.100.1,Sterilization,Surgical procedure, 98.000  Once,$0 - $,$0 - $
Combined injectable[19],"Lunelle, Cyclofem",000.200.2 (1 of 500),000.200.2,Estrogen + progestogen,Injection, 00.100  Monthly,$0 - $,$0 - $
IUD with progestogen[17],"Mirena, Skyla, Liletta",000.200.2 (1 of 500),000.200.2,Intrauterine & progestogen,Intrauterine, 05.000  3-7 years,$0 - $,$0 - $
Essure[20],female sterilization,000.260.26 (1 of 384),000.260.26,Sterilization,Surgical procedure, 98.000  Once,$0 - $,$0 - $
Tubal ligation[17],female sterilization,000.500.5 (1 of 200),000.500.5,Sterilization,Surgical procedure, 98.000  Once,$0 - $,$0 - $
IUD with copper[17],"Paragard, Copper T, the coil",000.800.8 (1 of 125),000.600.6,Intrauterine & copper,Intrauterine, 05.100  3 to 12+ years,$0 - $,$0 - $
"Forschungsgruppe NFP symptothermal method, teaching sessions + application[17][21]",Sensiplan by Arbeitsgruppe NFP (Malteser Germany gGmbh),001.801.8 (1 of 55),000.400.4,Behavioral,"Teaching sessions, observation, charting and evaluating a combination of fertility symptoms", 00.006  Three teaching sessions + daily application,$0 - $,$0 - $
LAM for 6 months only; not applicable if menstruation resumes[22][23],ecological breastfeeding,002.002 (1 of 50),000.500.5,Behavioral,Breastfeeding, 00.004  Every few hours,$0 - $,$0 - $
gray2002[24] cervical cap and spermicide (discontinued in 2008) used by nulliparous[25][25][26],Lea's Shield,005.005 (1 of 20),100.00no data,Barrier + spermicide,Vaginal insertion, 00.030  Every act of intercourse,$0 - $,$0 - $
MPA shot[17],"Depo Provera, the shot",006.006 (1 of 17),000.200.2,Progestogen,Injection, 00.300  12 weeks,$0 - $,$0 - $
"grayTestosterone injection for male (unapproved, experimental method)[27]",Testosterone Undecanoate,006.106.1 (1 of 16),001.101.1,Testosterone,Intramuscular Injection, 00.030  Every 4 weeks,$0 - $,$0 - $
1999 cervical cap and spermicide (replaced by second generation in 2003)[28],FemCap,007.607.6date=December 2017 (estimated) (1 of 13),no data,Barrier & spermicide,Vaginal insertion, 00.030  Every act of intercourse,$0 - $,$0 - $
Contraceptive patch[17],"Ortho Evra, the patch",009.009 (1 of 12),000.300.3,Estrogen & progestogen,Transdermal patch, 00.070  Weekly,$0 - $,$0 - $
