English,Malaysian,Indonesian
Pacific Ocean,"zsmLautan Pasifik, zsmLautan Teduh",idSamudra Pasifik
Palestine,zsmPalestin,idPalestina
papaya (fruit),(zsmbuah) zsmbetik,id(buah) pepaya
Papua New Guinea,zsmPapua New Guinea,idPapua Nugini
parallel,zsmselari,idparalel
parliament,zsmparlimen,idparlemen (from Franco-Dutch frparlement)
party (political),zsmparti,idpartai (from Dutch nlpartij)
passport,zsmpasport,idpaspor
patient,zsmpesakit means convict in Indonesian,idpasien
patrol,zsmronda,"idpatroli (for police and military) (from Dutch nlpatrolie), idronda (for civilian)"
"pavement, sidewalk","zsmjalan pinggir, zsmjalur jalan untuk pejalan kaki, zsmlaluan jalan kaki, zsmkaki lima (In Indonesia, it is used in idpedagang kaki lima (street vendor)) zsmtepi jalan",idtrotoar (from Franco-Dutch frtrottoir)
penis,"zsmzakar from Arabic ar????? "armale"- this word is extremely vulgar in Indonesian, "idbuah zakar" means testicles, zsmbatang lelaki, zsmkonek (slang)","idpenis (formal), idzakar from Arabic, less frequent, idpelir, idalat kelamin laki-laki (euphemism), idkemaluan lelaki (euphemism), idburung (vulgar), idtitit (children's slang like "pee-pee"), idkontol (slang, extremely vulgar)"
percent,zsmperatus,"idpersen, idperseratus (less common, usually used when compared per mille)"
perfume,"zsmharuman, zsmminyak wangi","idparfum from Dutch, idminyak wangi"
periodic,zsmberkala,"idberkala, idperiodik"
Persia,zsmParsi,idPersia
pharmacy,zsmfarmasi,"idapotek (from Dutch nlapotheek), idfarmasi (usually for medicine manufacturers)"
photograph,"zsmgambar (In Indonesian, it means "picture" or "figure"), zsmfoto",idfoto (idpotret
physics,"zsmfizik (Indonesian equivalent term, idfisik, is used for term physical, e.g. idaktivitas fisik [physical activity])",idfisika
pickpocket noun,zsmpenyeluk saku,"idcopet (portmanteau of idcolong dompet, "wallet thief"), pencopet"
"pig, swine",zsmbabi zsmkhinzir from Arabic ar???????? (arkhin-zeer),idbabi
pipe,zsmpaip,idpipa
pirate (maritime),zsmlanun zsmbajak[41],"idbajak laut, idperompak (zsmperompak in Malay, means "robber"), idlanun (archaic)"
platform (train),zsmplatform,idperon from Dutch nlperron
Poland,zsmPoland,idPolandia
police,zsmpolis (means "insurance policy" (idpolis asuransi) in Indonesian),idpolisi from Dutch nlpolitie
pollution,zsmpencemaran,"idpencemaran, idpolusi"
portion,zsmsebahagian,"idporsi, idsebagian (a portion of...)"
post code,zsmposkod,idkode pos
potential,zsmkeupayaan,"idpotensial, iddaya berkemampuan"
Prague,zsmPrague,idPraha (also used in Malay)
prayer (Islam),"zsmsolat, zsmsembahyang","idsalat (standard), idshalat, idsholat (from Arabic, 'sh' is usually pronounced as 's'), idsembahyang"
prayer room (Islam),zsmsurau,"idsurau, idmusala, idmushollah (from Arabic, 'sh' is usually pronounced as 's')"
precipitation (meteorology),zsmkerpasan,"idcurah hujan, idpresipitasi"
prediction,zsmramalan,"idprediksi, idramalan, idprakiraan (not idperkiraan estimation)"
pregnant,"zsmmengandung, zsmhamil (formal, from Arabic ar??????), zsmberbadan dua zsmbunting for animals","idmengandung (formal), idhamil (colloquial), idberbadan dua (poetic), idbunting (informal)"
premature,zsmpramatang,"idprematur, iddini"
Preparation,zsmPenyediaan,idPersiapan
preposition,zsmkata sendi nama,"idpreposisi, idkata depan"
press,"zsmmedia massa, zsmsurat khabar (see above)","idpers (from Dutch), idmedia massa"
Private Limited Company,"zsmSendirian Berhad abbreviated as zsmSdn Bhd (suffix), "zsmsendirian" alone means "alone"",idPerseroan Terbatas abbreviated as idPT (prefix)
privatization,zsmpenswastaan,"idprivatisasi, idswastanisasi, idpenswastaan"
producer,"zsmpengeluar, zsmpenerbit, zsmpenghasil","idprodusen, idproduser (mainly refers to musical producers), idpenghasil"
product,zsmkeluaran,"idproduk (from English and Dutch product), idhasil, idkeluaran (more specific term for outcome)"
programming (computer),zsmpengaturcaraan,idpemrograman
property (?),"zsmharta zsmpunya, zsmmilik","idproperti idpunya, idmilik"
propulsion,zsmperejangan,"idpropulsi, idpendorong, idpenggerak"
prostitute,"zsmpelacur, zsmperempuan sundal (vulgar)","idpelacur, idWanita Tuna Susila (WTS) (Sanskrit, pronounced 'way-tay-es', i.e. "moral-less women"), idPekerja Seks Komersial (PSK) (formal, pronounced 'pay-es-ka' (commercial sex workers)), idperek (slang)"
prostitution,zsmpelacuran,"idprostitusi, idpelacuran"
province,"zsmwilayah (used in Indonesian to mean 'area'), zsmdaerah (used in Indonesian to mean 'area')",idprovinsi (from Dutch nlprovincie)
publication,zsmpenerbitan,"idpenerbitan, idpublikasi, idterbitan"
pulse,zsmdenyut,"iddenyut, idpulsa"
"push, to (door)","zsmtolak (It used as in idtolak peluru (shot put) in Indonesian for this contex, used less primarily in Indonesian to mean 'subtract', it also means 'to refuse/reject', also common meaning in Malay when used in arithmetics)","iddorong (means "to push" in Malay, but often used to mean "to support")"
