Audio compression format,Creator,First public release date,Latest stable version,Cost,,Proprietary implementations (codecs),Open-source implementations (codecs),Uses (other than consumer audio),Music reproduction (consumer audio),Telephony app,Lossless audio compression,Patented,DRM
,,,,Encoder,Player,,,,,,,,
AAC,ISO/IEC MPEG Audio Committee,1997,ISO/IEC 14496-3,colspan="2" ,"FAAC (encoding only), Nero Digital Audio, Apple CoreAudio (via QuickTime, iTunes or afconvert[2])"," FAAD2 (decoding only), FFmpeg, Audiocogs[3] (decoding only), Fraunhofer FDK AAC","Digital TV service, Digital Radio, Internet streaming",,AAC-LD/AAC-ELD,MPEG-4 SLS,Yes,"FairPlay (.m4p only, discontinued)",
AC-3,Dolby Laboratories,1992,ATSC A52:2012,colspan="2" ,"DVD players, digital television","FFmpeg, liba52 (decoding only), Aften (encoding only), libavc (2.0 channels max)","Theatrical movie presentation, Digital TV service & home-video (personal recorders, DVD, etc.)",,,,No,,
ALAC,Apple Inc.,2004-04-28,QuickTime 7.6,colspan="2" ,"QuickTime, iTunes, RealPlayer"," MacOSforge, FFmpeg, Audiocogs[4] (decoding only)",Music archival,,,,,"Possible, but never implemented",
ALS,ISO/IEC MPEG Audio Committee,2005,ISO/IEC 14496-3,colspan="2" ,MPEG-4 ALS,FFmpeg (decoding only),-,,,,Yes,,
AMBE,Digital Voice Systems,,,colspan="2" ,,mbelib,"Low bandwidth HF/VHF digital radio, VoIP trunking",,,,Yes,,
AMR,3GPP,1999-06-22,ETSI TS 126 071 V9.0.0 (2009),colspan="2" ,"QuickTime, RealPlayer","FFmpeg (decoding only), FFmpeg with OpenCORE libraries,[7] Android[8]",voice recording,,,,Yes,No,
AMR-WB (G.722.2),3GPP,2001-04-10,ETSI TS 126 190 V8.0.0 (2009-01),,,"QuickTime, RealPlayer","FFmpeg (decoding only),[7] FFmpeg with VisualOn libraries, Android (decoding only),[8] opencore-amr for both encoding and decoding",voice recording,,,,Yes,No
AMR-WB+,3GPP,2004-06-14,ETSI TS 126 290 V8.0.0 (2009-01),,,,,voice recording,,,,Yes,No
aptX,Qualcomm,1989,2007,,,"Broadcast audio codecs: 2wcom systems, Systembase, APT, AVT, Harris Corporation, MAYAH, Prodys, Qbit; wireless headphones: iSkin, JayBird Gear, DTS discs for movies",FFmpeg,"Low latency Studio/transmitter link, Bluetooth A2DP stereo, digital wireless microphone",,,,Yes,No
ATRAC,Sony Corp.,1991,ATRAC3plus,,,"MiniDisc, Walkman, VAIO, Clie, PlayStation 3, PlayStation Portable, SDDS, SonicStage, SoundForge, RealPlayer, ConnectPlayer","FFmpeg (decoding only, ATRAC Advanced Lossless is only partially supported)","voice recording, theatrical movie presentation",,,,Yes,Yes
"BroadVoice (BV16, BV32)",Broadcom,2009-08-19,1.2,,,,,"Speech, VoIP, Low latency, voice recording",,,,,No
CELT,"Xiph.Org Foundation, Jean-Marc Valin",2007-12-08,0.11.1 (merged into Opus),,,,"libcelt, FFmpeg with libcelt library (decoding only)","Speech, VoIP, Low latency, Studio/transmitter link, wireless audio",,,,No,No
Codec2,David Rowe,2010,Developmental,,,,"c2enc, c2dec","Low bandwidth HF/VHF digital radio, VoIP trunking",,,,No,No
Enhanced AC-3 (E-AC-3),Dolby Laboratories,,ATSC A52:2012,,,Digital television,FFmpeg,"Theatrical movie presentation, digital TV service & home-video (personal recorders, DVD, etc.)",,,,Yes,
EVS,"Fraunhofer, JVC Kenwood , NTT, NTT Docomo, Panasonic, Ericsson",2014,,,,,,,,,,Yes,
FLAC,"Xiph.Org Foundation, Josh Coalson",2001-07-20,1.3.3 (2019-08-04),,,,"FLAC,[11] Flake[12] (encoding only), FFmpeg, FLACCL[13] (encoding only), Audiocogs[14] (decoding only)",Music archival[15],,,,No,No
G.711,ITU-T,1972 (ITU-T standard from 1988),G.711 Appendix II (02/00),,,Various proprietary VoIP software,"FFmpeg, Ekiga, Asterisk (PBX) and almost any VoIP software",voice recording,,,,No,No
G.722,ITU-T,1988-11,,,,Various proprietary VoIP software,"Asterisk (PBX), QuteCom, FFmpeg",voice recording,,,,No,No
G.722.1,ITU-T,1999-09,G.722.1 (05/05),,,Various proprietary VoIP software,"FreeSWITCH,[18] PJSIP, etc",voice recording,,,,Yes,No
G.722.2 (AMR-WB),ITU-T (adopted directly from 3GPP),2002-01,G.722.2 (07/03),,,"QuickTime, RealPlayer","FFmpeg (decoding only),[7] FFmpeg with VisualOn libraries, Android (decoding only)[8]","voice recording, audio",,,,Yes,No
G.723.1,ITU-T,1996-03,G.723.1 (05/06),,,Various proprietary VoIP software,FFmpeg,voice recording,,,,Yes,No
G.726,ITU-T,1990-12,,,,Various proprietary VoIP software,"FFmpeg, Ekiga and other VoIP software",voice recording,,,,No,No
G.728,ITU-T,1992-09,,,,Various proprietary VoIP software,,voice recording,,,,Yes,No
G.729,ITU-T,1996-03,G.729 (06/12),,,Various proprietary VoIP software,FFmpeg (decoding only),voice recording,,,,Expired[19],No
G.729.1,ITU-T,2006-05,G.729.1 Am.8 (03/13),,,Various proprietary VoIP software,,"voice recording, DECT telephony",,,,No,No
