Product,Manufacturer,Web browser,Wireless synching,Ad hoc,On-demand,Web radio/TV
"Archos 5, 7",Archos,Opera,,,,
"Archos 604 WiFi, 704 WiFi",Archos,Opera 8.5,,,,
"Archos 605 WiFi, 705 WiFi",Archos,Opera 9,,,Content Portals,
Archos PMA400,Archos,Opera,,,,
Cowon Q5W,Cowon,IE Mobile,,,,Yes (using Flash-based Internet Radio sites)
Ibiza Rhapsody,Haier,Minimo,,,Rhapsody,
iPod Touch,Apple Inc.,Webkit,,,"iTunes, Spotify",
Samsung Galaxy Player,Samsung,Webkit,,,Android Marketplace,
Sansa Connect,SanDisk,,,,Yahoo! Music,
Sony PSP,Sony,NetFront,,,PlayStation Store,
Sony Walkman X Series,Sony,NetFront,,,,
ZEN X-Fi,Creative,,media server,,Creative MediaBox,
"Zune 4, 8",Microsoft,,,,Zune Marketplace,
Zune 30,Microsoft,,,,Zune Marketplace,
"Zune 80, 120",Microsoft,,,,Zune Marketplace,
Zune HD,Microsoft,IE Mobile 6,,,Zune Marketplace,
