,Union,Intersect,Except,Inner joins,Outer joins,Inner selects,Merge joins,Blobs and Clobs,Common Table Expressions,Windowing Functions,Parallel Query,System-versioned Tables
4th Dimension,,,,,,,,,,,,
ADABAS,,,,,,,,,,,,
Adaptive Server Enterprise,,,,,,,,,,,,
Advantage Database Server,,,,,,,,,,,,
Altibase,,,"Yes, via MINUS",,,,,,,,,
Apache Derby,,,,,,,,,,,,
ClustrixDB,,,,,,,,,,,,
CUBRID,,,,,,,,,,,,
DB2,,,,,,,,,,,,
Empress Embedded Database,,,,,,,,,,,,
EXASolution,,,,,,,,,,,,
Firebird,,,,,,,,,,,,
HSQLDB,,,,,,,,,,,,
H2,,,,,,,,,experimental[110],,,
Informix Dynamic Server,,,"Yes, via MINUS",,,,,,,,,
Ingres,,,,,,,,,,,,
InterBase,,,,,,,,,,,,
Linter SQL RDBMS,,,,,,,,,,,,
LucidDB,,,,,,,,,,,,
MariaDB,,10.3+[113],10.3+[114],,,,,,,,,
MaxDB,,,,,,,,,,,,
Microsoft Access (JET),,,,,,,,,,,,
Microsoft Visual Foxpro,,,,,,,,,,,,
Microsoft SQL Server,,,,,,,,,,,,
Microsoft SQL Server Compact (Embedded Database),,,,,,,,,,,,
Mimer SQL,,,,,,,,,,,,
MonetDB,,,,,,,,,,,,
MySQL,,,,,,,,,8+[120],,,
OpenBase SQL,,,,,,,,,,,,
OpenLink Virtuoso,,,,,,,,,,,,
Oracle,,,"Yes, via MINUS",,,,,,,,,
Oracle Rdb,,,,,,,,,,,,
Pervasive PSQL,,,,,,,,,,,,
Polyhedra DBMS,,,,,,,,,,,,
PostgreSQL,,,,,,,,,,,,
Raima Database Manager,,,,,,,,,,,,
RDM Server,,,,,,,,,,,,
SAP HANA,,,,,,,,,,,,
solidDB,,,,,,,,,,,,
SQL Anywhere,,,,,,,,,,,,
SQLite,,,,,LEFT only,,,,3.8.3+[123],3.25+[124],,
SQream DB,ALL only,,,,,,,,,,,
Teradata,,,,,,,,,,,,
UniVerse,,,,,,,,,,,,
,Union,Intersect,Except,Inner joins,Outer joins,Inner selects,Merge joins,Blobs and Clobs,Common Table Expressions,Windowing Functions,Parallel Query,System-versioned Tables
