English,Standard Malay (Malaysian),Indonesian
abolition,zsmpemansuhan,"1. idabolisi, 2. idpenghapusan"
abortion,zsmpengguguran,"1. idaborsi, 2. idpengguguran (of a fetus)"
abroad,zsmluar negara,idluar negeri
accessibility,"1. zsmkebolehcapaian, 2. zsmketercapaian","1. idketerjangkauan, 2. idketercapaian, idaksesibilitas"
"account (bank, bills)",zsmakaun,"1. idrekening (from Dutch – used in banks and hotels), 2. idakun (used for all meanings of account apart from bank account)"
accountability,"zsmkebertanggungjawapan, zsmakauntabliti","idakuntabilitas, idpertanggungjawaban"
accountant,zsmakauntan,idakuntan
accounting,zsmperakaunan,idakuntansi
accurate,zsmtepat,"1. idtepat, 2. idakurat (influenced by Dutch nlaccuraat)"
administration,zsmpentadbiran,idadministrasi (From Dutch pronunciation of nladministratie)
after,"1. zsmselepas, 2. zsmsetelah","1. idsetelah (also used in Malay to indicate consecutive actions), 2. idsesudah, idselepas"
afternoon,zsmpetang,"1. idsore, 2. idpetang"
agent,"1. zsmejen, 2. zsmagen",idagen
air force,zsmtentera udara,idangkatan udara
airport,zsmlapangan terbang ('airfield' in Indonesian; similar to Dutch vliegveld),"idbandar udara (loan translation of the English term, commonly abbreviated as bandara), idlapangan terbang"
Alexandria,zsmIskandariah,"idAlexandria, idIskandariyah"
Algeria,zsmAlgeria,idAljazair (from Arabic: aral-Jaz?'ir ar???????)
Algiers,zsmAlgiers,idAljir (from Algerian Arabic: ardzayr ar??????????)
alliance,"zsmperikatan, zsmpersekutuan, zsmpakatan","idaliansi (influenced by Dutch nlalliantie), idpersekutuan"
alloy,"zsmpancalogam, zsmaloi","idlogam paduan, idlogam campuran, idaloi"
apartment,"zsmpangsapuri, zsmrumah pangsa, zsmrumah kondo (only for 'condominium')","idapartemen (influenced by Dutch nlappartement), idrumah susun (idrusun) (public housing for poor families), idkondominium"
application (software),"zsmperisian penggunaan, zsmaplikasi","idperangkat lunak, idaplikasi"
architect,zsmarkitek,idarsitek (from pronunciation of Dutch nlarchitect)
architecture,zsmseni bina,idarsitektur (influenced by Dutch nlarchitectuur)
archive,zsmarkib,idarsip (from Dutch nlarchief)
area,zsmkawasan,"iddaerah, idarea, idkawasan"
armed forces,zsmtentera,"idtentara, idangkatan bersenjata"
army,zsmtentera darat,idangkatan darat
assembly,"zsmmajlis, zsmperhimpunan (from the root verb 'zsmhimpun' meaning 'to gather/assemble')","idmajelis, idhimpunan, idperhimpunan"
assets,zsmaset,"idharta, idaset, idaktiva (from Dutch nlactiva)"
association,zsmpersatuan,"idasosiasi (from Dutch nlassociatie), idpersatuan, idperkumpulan"
assumption,"zsmandaian, zsmanggapan","idasumsi, idanggapan, iddugaan"
astronaut,zsmangkasawan,"idastronaut, idantariksawan"
Athens,zsmAthens,idAthena (influenced by Dutch nlAthene or from native Greek elAthina)
athletics (sport),zsmolahraga ('sport' in Indonesian),idatletik
auction,zsmlelong from Portuguese ptleilão,idlelang also from Portuguese ptleilão
August,zsmOgos,idAgustus from Dutch idaugustus
auntie,"zsmmakcik (also used in Riau Malay dialect in Indonesia), zsmemak saudara, zsmibu saudara","idbibi, idtante from Dutch"
autobiography,zsmautobiografi,"idautobiografi, idotobiografi is a nonstandard spelling"
automatic,zsmautomatik (formerly zsmotomatik),idotomatis (derived from Dutch pronunciation of nlautomatisch)
autonomy,zsmautonomi,idotonomi (self-governing)
awkward,"zsmjanggal, zsmkekok (of gesture)","idaneh, idjanggal, idcanggung, idkikuk (of gesture)"
