Vehicle,Origin,Manufacturer,Payload mass to ... (kg),,,"Orbital launches incl. failuresSuborbital flight tests and on-pad explosions are excluded, but launches failing en route to orbit are included.",Date of flight,
,,,LEO,GTO,Other,,"FirstEffective year for active rockets, planned year for rockets in development",Latest
Alpha,,Firefly Aerospace,1000[5],,630 to SSO,0,2020[6],
Amur,,,10500[7],,,,2026[7],
Angara 1.2,,Khrunichev,3500[8],,2400 to SSO,0,"2021[9]A suborbital flight was conducted in 2014 as Angara-1.2pp, testing only the first and second stages.[10]",
Angara A5,,Khrunichev,24000[8],7500 with KVTK 5400 with Briz-M [8],,1,2014,2014
Antares 230 / 230+,,Northrop Grumman,8200[11],,3000 to SSOname=500km,6[12],2016,2020
Ariane 5 ECA,Europe,EADS Astrium,21000[13],"10,865[14]Upgraded to 11,115 kg by 2020[15]",,76[16],2002,2020
Ariane 6 A62,Europe,ArianeGroup,"10,350[17]45","5,000[17]33","6,450 to SSO 3,000 to HEO 3,000 to TLI [17]40–49",0,2022,
Ariane 6 A64,Europe,ArianeGroup,"21,650[17]46","11,500+ [17]33","14,900 to SSO 5,000 to GEO 8,400 to HEO 8,500 to TLI [17]40–49",0,2023,
Astra,,Astra Space,100[18],,150 to SSO,1,2020[18],2020
Atlas V 401,,ULA,9050[19],"4,950","6,670 to SSO",38[19],2002,2018
Atlas V 411,,ULA,9050[19],"6,075","8,495 to SSO",6[19],2006,2020
Atlas V 421,,ULA,9050[19],"7,000","9,050 to SSO",7[19],2007,2017
Atlas V 431,,ULA,9050[19],"7,800","9,050 to SSO",3[19],2005,2016
Atlas V 501,,ULA,8250[19],"3,970","5,945 to SSO 1,500 to GEO",6[19],2010,2020
Atlas V 511,,ULA,"11,000[19]","5,250","7,820 to SSO 1,750 to GEO",0[19],2020,
Atlas V 521,,ULA,13300[19],"6,485","9,585 to SSO 2,760 to GEO",2[19],2003,2004
Atlas V 531,,ULA,15300[19],"7,425","11,160 to SSO 3,250 to GEO",3[19],2010,2013
Atlas V 541,,ULA,17100[19],"8,240","12,435 to SSO 3,730 to GEO",7[19],2011,2020
Atlas V 551,,ULA,18500[19],"8,700","13,550 to SSO 3,960 to GEO",11[19],2006,2020
Atlas V N22for Starliner[20],,ULA,"13,000",,,1,2019[21],2019
Beta,,Firefly Aerospace,4000[22],0TBATo be announced,3000 to SSO,0,TBATo be announced,
Bloostar,Spain,Zero 2 Infinity,140[23],,75 to SSO[23],0,TBATo be announced,
Blue Whale 1,South Korea,Perigee Aerospace,63[24],,50 to SSO,0,2021[25],
Ceres-1,China,Galactic Energy,350,,270 to SSO,1,2020,2020
Cyclone-4M,,Yuzhnoye Yuzhmash,5000[26],1000[27],3350 to SSO[26],0,2021[28],
Delta IV Heavy,,ULA,28790[29],14220,23560 to polar 11290 to TLI 8000 to TMI,11[30],2004,2019
Electron,,Rocket Lab,300[31],,200 to SSO[31],12[32],2017,2020
Epsilon,,IHI[33],1500[34],,590 to SSO,4[35],2013,2019
Eris-S,,Gilmour Space Technologies,200[36],,,0,2021–2022[37],
Eris-L,,Gilmour Space Technologies,450[36],,,0,TBATo be announced,
Falcon 9 Full Thrust (partially reusable),,SpaceX,16800+[38],"5,500[39]GTO payload is 5,550 kg when the first stage lands downrange on a drone ship (ASDS). Reduced to 3,500 kg if the first stage returns to the launch site (RTLS).[40]","9,600 to polar[41]","F9FTlaunchreusable[42][43]Additionally, one rocket exploded on the launch pad in 2016.[44]",2015,2020
Falcon 9 Full Thrust (expended),,SpaceX,22800[39],8300[39],"4,020 to TMI",F9FTlaunchexpendable[45][46],2017,2020
Falcon Heavy (partially reusable)[47],,SpaceX,"30,000[48]–57,000[49]","8,000[39]–10,000GTO payload is 8,000 kg when the core first-stage booster lands downrange on a drone ship (ASDS) and the side boosters return to the launch site (RTLS). Increased to 10,000 kg if all boosters land on drone ships.[40]",,FHlaunch[50][51],2018,2019
Falcon Heavy (expended),,SpaceX,"63,800[52]","26,700[52]","16,800 to TMI[52]",0,– As of 2019 Falcon Heavy has only flown in partially reusable configuration; fully expendable configuration is considered operational in the sense that it is a simplified version of the reusable configuration.,
GSLV Mk II,,ISRO,5000[53],"2700[54]GTO payload with enhanced engines, as of GSLV version 2A[55]",,7[55],2010,2018
GSLV Mk III,,ISRO,"10,000[56]","4,000",,3[57],2017A suborbital test flight was conducted in 2014 (designated LVM-3/CARE) without the cryogenic upper stage (CUS).[58],2019
H-IIA 202,,Mitsubishi,"8,000[59]67","4,000[59]48","5,100 to SSO5,100 kg to a 500-km Sun-synchronous orbit; 3,300 kg to 800 km[59]64–65 [59]64–65",26[60],2001,2020
H-IIA 204,,Mitsubishi,,"5,950[59]48",,4[60],2006,2017
H3,,Mitsubishi,4000[61],6500[62],4000 to SSO[63],0,2021[64],
Hyperbola-1,,i-Space,300[65],,,1[66],2019[67]A suborbital test flight was conducted in April 2018.[65],2019
Hyperbola-2,,i-Space,"2,000[65]",,,0,2021[65],
Jielong 1[68],,CALT,,,200 (SSO),1[68],2019,2019
Kaituozhe-2,,CASC,800[69],,,1[69],2017,2017
Kuaizhou 1/1A,,ExPace,400[70],,,9[70],2013A suborbital test flight was conducted in March 2012.[70],2019
Kuaizhou 11,,ExPace,1500[71],,1000 to SSO[72],1,2020,2020
Kuaizhou 21,,ExPace,"20,000[73]",,,0,2025[72],
LauncherOne,,Virgin Orbit,500[74],,300 to SSO[75],1,2020,2020
Long March 2C,,CALT,3850 date=October 2018,1250 with CTS2,2000 to SSO with YZ-1S[76],57[77]Includes 6 possible launches of CZ-2C (3) noted by Gunter Krebs in reference [77].,1982,2019
Long March 2D,,SAST,4000,,1150 to SSO,46[77],1992,2020
Long March 2F,,CALT,8600,,,13[77],1999,2016
Long March 3A,,CALT,"6,000[78]","2,600","5,000 to SSO",27[79],1994,2018
Long March 3B/E,,CALT,"11,500[78]","5,500","6,900 to SSO",53[79],2007,2020
Long March 3C,,CALT,"9,100[78]","3,800","6,500 to SSO",17[79],2008,2019
Long March 4B,,SAST,4200[80],1500,2800 to SSO,35[80],1999,2019
Long March 4C,,SAST,4200[81],1500,2800 to SSO,28[80],2006,2019
Long March 5,,CALT,,14000 [82],15000 to SSO[83] 9400 to TLI[82] 6000 to TMI[82],4[83],2016,2020
Long March 5B,,CALT,25000[83],,,1[83],2020[84],2020
Long March 6,,SAST,,,1080 to SSO[85],3[86],2015,2019
Long March 7,,CALT,13500[87],,5500 to SSO,2[88],2016[89],2017
Long March 7A,,CALT,,5500 to 7000[84],,1,2020,2020
Long March 8 (partially reusable)[90],,CALT,,2800,5000 to SSO,0,2020[90],
Long March 9[91],,CALT,"140,000[92]","66,000[93]","50,000 to TLI[92] 40,000 to TMI[90]",0,2028[94]–2030[90],
Long March 11,,CALT,700[95],,350 to SSO,8[96],2015,2019
Minotaur I,,Northrop Grumman,580[97],,,10[98],2000,2013
Minotaur IV,,Northrop Grumman,1735[99],,,4[100],2010,2017
Minotaur V,,Northrop Grumman,,670[100],465 to HCO,1[100],2013,2013
Minotaur-C (Taurus)[101],,Northrop Grumman,1458[102],,1054 to SSOname=400kmReference altitude 400 km,10[103],1994,2017
Miura 5,,PLD Space,300[104],,,0,2024[105],
New Glenn,,Blue Origin,"45,000[106]","13,000",,0,2021[107],
New Line 1 (partially reusable)[108],,LinkSpace,,,440lbkgdisp=number to SSO[108],0,2021[109],
Nuri (KSLV-2),,KARI,1500 at 600–800 km[110],,,0,2021[110]A suborbital test flight was conducted in November 2018.,
OS-M1,,OneSpace,205[111],,143 to SSO,1,2019[112]A suborbital test flight was conducted in May 2018.[113],2019
OS-M2,,OneSpace,390[111],,292 to SSO,0,TBATo be announced,
Pegasus,,Northrop Grumman,500[114],,,44[114][115],1990,2019
Prime,,Orbex,220[116],,150 to SSOname=500kmReference altitude 500 km[117],0,2021[117],
Proton-M / M+,,Khrunichev,23000 (M+)[118] 21600 (M)[119],6920 (M+) 6150 (M),,108[120][121][122],2001,2019
PSLV-CA,,ISRO,2100[123],,1100 to SSO,14[123],2007,2019
PSLV-DL,,ISRO,,,,1[123],2019,2019
PSLV-QL,,ISRO,,,,2[123],2019,2019
PSLV-XL,,ISRO,3800[123],1300,1750 to SSO 550 to TMI[124],21[123],2008,2019
