English,Malaysian,Indonesian
I,"zsmsaya, zsmaku, zsmdaku","idsaya, idaku, iddaku"
ice,zsmais,ides
Iceland,zsmIceland,idIslandia
image,"zsmcitra, zsmimej (of reputation), zsmgambar (pictorial image)","idcitra (of reputation), idgambar (pictorial image)"
imagination,"zsmimaginasi, bayangan","idimajinasi, idkhayalan"
immigration,"zsmimigresen, imigrasi",idimigrasi from Dutch nlimmigratie
import,zsmimport,idimpor
impotence,"zsmmati pucuk, zsmimpotensi, zsmlemah syahwat","idimpotensi from Dutch nlimpotentie, idlemah syahwat colloquial"
impotent,zsmkemandulan,"idimpotensi, idkemandulan"
incineration,zsmpenunuan,idinsinerasi
Indian Ocean,zsmLautan Hindi,idSamudra Hindia
inductor,"zsmperaruh, zsminduktor (rare)",idinduktor
information,zsmmaklumat,"idinformasi, from Dutch nlinformatie, idpenerangan rare"
injection (noun),zsmsuntikan,"idsuntikan, idinjeksi"
ink,zsmdakwat from Arabic,"idtinta from Dutch nltinte, iddawat (archaic)"
installment (payment),zsmansuran,"idangsuran, idcicilan"
instant,zsmsegera (means "soon" in Indonesia),"idseketika, idinstan"
insurance,zsminsurans,idasuransi from Dutch nlassurantie
intelligence (spying),zsmrisikan (means 'secret investigation' in Indonesia),"idintelijen, idtilik sandi"
international,zsmantarabangsa,"idinternasional, idmancanegara from Javanese meaning: foreign land)"
internet café,"zsmkafe internet, zsmkafe cyber",idwarnet a portmanteau for "idwarung internet" (
intervention,"zsmcampur tangan, zsmintervensi","idcampur tangan, idintervensi"
introspection,"zsmkaji diri, zsmintrospeksi (rare)","idintrospeksi, idmawas diri"
invasion,"zsmpenyerangan, zsmpenjajahan (means colonialism in Indonesian), zsminvasi",idinvasi
investment,zsmpelaburan,"idinvestasi, idpenanaman modal"
Iraq,zsmIraq,idIrak
Ireland,zsmIreland,idIrlandia
irrigation,zsmpengairan,"idirigasi, idpengairan"
Italy,zsmItali,idItalia from Italian
