File format,OpenXPS,PDF
Based on a format developed by,Microsoft,Adobe Systems
Standardized by,Ecma International[2],ISO
First public release date,2006[3],1993[4]
Latest stable version,Ecma International Standard ECMA-388 — Open XML Paper Specification — 1st Edition,ISO 32000-1:2008 — Document management — Portable document format — Part 1: PDF 1.7
Latest standardised version,Ecma International Standard ECMA-388 — Open XML Paper Specification — 1st Edition,ISO 32000-2:2017 — Document management — Portable document format — Part 2: PDF 2.0
Language type,Markup language (XML)[5][6],PDF is a database of objects that may be created from PostScript or generated directly by an application.
XML schema representation,XML Schema (W3C) (XSD) and RELAX NG (ISO/IEC 19757-2)[7],N/A
Compression format,ZIP[5][6][8],"LZW for both text and images; JPEG, JPEG 2000, and RLE for images only[9]"
Container structure,Open Packaging Conventions (ISO/IEC 29500-2:2008)[5][6],
3D graphic content,X3D (ISO/IEC 19775/19776)[10],"U3D (Standard ECMA-363),[11][12] PRC (Product Representation Compact, ISO 14739-1:2014)"
,,,
Full file content compression,,Compression of collections of objects[14]
Fast page by page download from web servers,,
Multiple documents in one file,,
Document bookmarks and outline,,
Reflowable,,With Tagged PDF[19]
Hyperlinks,,
Page thumbnails,,
Annotations,,
Image transparencies,,
Gradient fills,,
Alpha channel in color definitions,,
Support for multiple transparency blending modes,,
Change tracking,,
Password protection,,
Digital signatures,,
JPEG (RGB and CMYK) (ISO/IEC 10918-1),,
JPEG 2000 (ISO/IEC 15444-1),,
JBIG2 for bi-level images,,
PNG,,
TIFF (RGB and CMYK),,
HD Photo / JPEG XR (ISO/IEC 29199-2:2009),,
Gray support,,
RGB support,,
CMYK support,,
Spot color support,,
Filename extensions,oxps[10],pdf[24]
Internet media types,application/oxps[10],application/pdf[25]
Standard licensing,Ecma copyrighted free download,"PDF 1.7: ISO copyrighted free download PDF 2.0: ISO copyrighted, requires purchase"
File format,OpenXPS,PDF
