English,Malaysian,Indonesian
Macau,zsmMacau,idMakau
"Macedonia, Republic of",zsmRepublik Macedonia,idRepublik Makedonia
magistrate,zsmmajistret,"idhakim from Arabic ar????? – used in Malaysian to refer to judges, idmagistrat less common"
Maldives,zsmMaldives,idMaladewa
male,"zsmlelaki, zsmlaki-laki, zsmjantan (for animals, depending on the context, it can mean masculine or used as a derogatory term on men)","idlaki-laki, idpria, idlelaki, idjantan (on animals, used on men to describe masculinity)"
malfunction,"zsmkerosakan, zsmmalfungsi, zsmpincang tugas","idkerusakan, idmalafungsi"
malpractice,zsmpenyelewengan (means "misappropriation" in Indonesian),idmalapraktik
management,zsmpengurusan,"idmanajemen, idpengurusan (rare)"
manager,zsmpengurus,"idmanajer, idpengurus"
manufacturing,zsmpengilangan,idmanufaktur
March (month),zsmMac,idMaret influenced by Dutch nlmaart
mass,zsmjisim,idmassa
mathematics,"zsmmatematik, zsmilmu hisab","idmatematika, idilmu hitung, idilmu hisab only used in Islamic text books"
matter,zsmjirim,idmateri
mattress,zsmtilam,"idkasur, idmatras, idtilam"
mean (verb),zsmbererti,idberarti
mediation,"zsmpengantaraan (In Indonesian, it means "broking")",idmediasi
medicine,zsmubat,idobat
memory card,zsmkad ingatan/kad memori,idkartu memori
mental arithmetic,zsmcongak,"idaritmetika cepat, idcongak"
Mexico,zsmMexico,idMeksiko
mile,"zsmbatu (means "stone" in Indonesian, from Sanskrit)",idmil
military,"zsmtentera, zsmketenteraan, zsmmilitari","idmiliter (from French frmilitaire through Dutch nlmilitair), idkemiliteran, idketentaraan"
minibus,zsmbas mini,"idbis mini, idminibus"
minute,zsmminit,idmenit
"mobile phone, cellphone",zsmtelefon bimbit,"idtelepon seluler (ponsel), idtelepon genggam"
Monaco,zsmMonaco,idMonako
Monday,zsmIsnin,idSenin
money,"zsmwang, zsmduit","iduang, idduit (colloquial)"
Morocco,zsmMaghribi from Arabic,idMaroko
mortgage,zsmgadai janji,"idhipotek from Dutch nlhypotheek, idgadai"
Moscow,zsmMoscow,"idMoskwa, idMoskow"
motorcycle,zsmmotosikal,"idsepeda motor nlmotorfiets, idmotor (informal)"
Mozambique,zsmMozambique,idMozambik
Mrs.,zsmPuan,"idIbu, Nyonya (Ny.)"
music,zsmmuzik,idmusik
