,Creator,Latest release,User interface,Software license,Cost
Allegro Network Multimeter,Allegro Packets,20200910 / 3.0.0[1],Web GUI,,
Analyze This,Comoe Networks,,Web GUI,N/A,
Cain and Abel,Massimiliano Montoro,20140407 / 4.9.56,GUI,Freeware,
Capsa,Colasoft,20180424 / 11.1[2],GUI,,"$0–$995, depending on version[3]"
Carnivore,Federal Bureau of Investigation,,,N/A,
Charles Web Debugging Proxy,Karl van Randow,20170710 / 4.1.4,GUI,,$30–$50 (Free Trial)
Clarified Analyzer,Clarified Networks,,GUI,,
Clusterpoint Network Traffic Surveillance System,Clusterpoint,,web GUI,,
CommView,TamoSoft,20171130 / 6.5 Build 770,GUI,,"$299–$599, $149 1 year subscription"
dSniff,Dug Song,20001217 / 2.3[4],CLI,BSD License,
EtherApe,Juan Toledo,20180603 / 0.9.18[5],GUI,GNU General Public License,
Ettercap,ALoR and NaGA,20200801 / 0.8.3.1-Bertillon[6],Both,GNU General Public License,
Fiddler,Eric Lawrence / Telerik,20191003 / 5.0.20194[7],GUI,Freeware,
HTTP Toolkit,Tim Perry,20200508 / v0.1.22[8],GUI,GNU Affero General Public License,
justniffer,The Justniffer team,20160321 / 0.5.15[9],CLI,GNU General Public License,
Kismet,Mike Kershaw (dragorn),20200502 / 2020-04-R3[10],CLI,GNU General Public License,
Microsoft Message Analyzer,Microsoft,20161028 / 1.4[11],GUI,,
Microsoft Network Monitor,Microsoft,20100624 / 3.4,GUI,,
netsniff-ng,Daniel Borkmann,20161107 / 0.6.2,CLI,GNU General Public License,
ngrep,Jordan Ritter,20170907 / 1.47,CLI,BSD-style,
Observer,Viavi Solutions (formerly Network Instruments),,GUI,,Price on request
"OmniPeek (formerly AiroPeek, EtherPeek)",Savvius (formerly WildPackets),201711 / 11.1,GUI,,"$1194–$5994, depending on version[12]"
Proxyman,Nghia Tran,20201020 / v2.10.0(21000)[13],GUI,,$25–$59 (Free Trial)
SteelCentral Transaction Analyzer,OPNET Technologies/Riverbed Technology,20140609 / 17.0.T-PL1[14],GUI,,
snoop,Sun Microsystems,20061211 / Solaris 10,CLI,CDDL,
tcpdump,The Tcpdump team,20170904 / 4.9.2[15],CLI,BSD License,
Tranalyzer,The Tranalyzer team,20191129 / 0.8.7lmw1[16],CLI,GNU General Public License,
Wireshark (formerly Ethereal),The Wireshark team,20200519 / 3.2.4[17],Both,GNU General Public License,
Xplico,The Xplico team,20190502 / 1.2.2[18],Both,GNU General Public License,
