Driver,802.11,,,,,,,Bus interface,Wireless Security,,,Monitor mode,Master (AP) mode,Ad-Hoc mode
,a,b,g,n,ac,ad,ax,,WEP,WPA,WPA2,,,
acx1xx,,,,,,,,"PCI, Mini PCI, PC card, USB",,,,,,
adm8211,,,,,,,,PCI,,,,,,
carl9170,,,,,,,,USB,,,,,,
ath5k,,,,,,,,"PCI, Mini PCI, PC card, AHB",,,,,,
ath9k,,,,,,,,"PCI, Mini PCI, Mini PCIe, AHB",,,,,,
ath9k_htc,,,,,,,,USB,,,,,,
ath10k,,,,,,,,"PCI, Mini PCI, AHB, Mini PCIe",,,,,,
b43,,,,,,,,"PCI, Mini PCI, SDIO ?",,,,,,
bcm43xx,,,,,,,,"PCI, Mini PCI, Cardbus, PC card",,,,,,
brcmfmac,,,,,,,,"USB, SDIO, PCI Express",,,,Exp. [30],,
brcmsmac,,,,,,,,"PCI, Mini PCI, Mini PCIe",,,,,,
hostap,,,,,,,,"PCI, Mini PCI, PC card",,,,,,
ipw2100,,,,,,,,Mini PCI,,,,,,
ipw2200,,,,,,,,Mini PCI,,,,,,
ipw2200-ap,,,,,,,,Mini PCI,,,,,,
ipw3945,,,,,,,,"Mini PCI, Mini PCIe",,,,,,
islsm,,,,,,,,"PCI, USB",,,,,,
iwlwifi,,,,,,,,"Mini PCI, Mini PCIe, M.2",,,,,2.4 GHz only Exp. [35] [36],
libertas,,,,,,,,"USB, CF, SDIO",,,,,,
madwifi,,,,,,,,"PCI, PC card, Mini PCI",,,,,,
mt76,,,,,,,,"PCIe, USB",,,,,,
mt7601u,,,,,,,,USB,,,,,,
orinoco,,,,,,,,"Mini PCI, PC card",,,,,,
p54,,,,,,,,"Mini PCI, USB, Cardbus",,,,,,
prism54,,,,,,,,PCI,,,,,,
rndis_wlan,,,,,,,,USB,,,,,,
rt2x00,,,,,,,,"PCI, USB, Mini PCI",,,,,,
rtl8180,,,,,,,,"PCI, PC card, Mini PCI",,,,,,
rtl8187,,,,,,,,USB,,,,,,
zd1201,,,,,,,,USB,,,,,,
zd1211,,,,,,,,USB,,,,,,
zd1211rw,,,,,,,,USB,,,,,,
