English,Malaysian,Indonesian
gangster,zsmsamseng,"idgeng, idpreman from Dutch nlvrijman (idgangster from English"
garage,zsmgaraj,idgarasi influenced by Dutch pronunciation
garrison,zsmgarrison,idgarnisun from Dutch nlgarnizoen
gear,zsmgear,"idroda gigi influenced by Dutch nltandwiel, 
gearbox,zsmkotak gear,"idpersneling from Dutch nlversnelling, idgirboks, idtransmisi"
general (military),zsmjeneral,idjenderal from Dutch nlgeneraal
ginger,zsmhalia,idjahe idjahi idhalia[40]
Global Positioning System,zsmSistem Kedudukan Sejagat,idSistem Pemosisian Global
goal keeper,zsmpenjaga gol/penjaga gawang,"idkiper, idpenjaga gawang"
golf club (stick),zsmkayu golf,"idstik golf, idpemukul golf, idtongkat golf"
government,zsmkerajaan derived from zsmraja (king) – used in Malaysia and Brunei – in Indonesian means "kingdom","idpemerintah derived from idperintah (order/instruction) – also used in Singapore, which, like Indonesia, is a republic"
governor,"zsmgabenor, zsmYang di-Pertua Negeri (in Malaysian states)",idgubernur from Dutch nlgouverneur
gradation,zsmpemeringkatan,"idgradasi, idpemberian tingkat (pemeringkatan)"
graduate,"zsmsiswazah, zsmsarjana","idlulusan, idsarjana"
grandfather,zsmdatuk,idkakek
Greece,"zsmGreece of recent use, zsmYunani",idYunani from Arabic arY?n?n ar???????
gross financial,zsmkasar,"idbruto from Dutch, idkasar"
group,"zsmsekumpulan, zsmkumpulan","idkelompok, idgrup from Dutch pronunciation of nlgroep, id(per)kumpulan, id(per)himpunan"
guarantee,zsmjaminan,"idjaminan, idgaransi from Dutch pronunciation of nlgarantie"
