Digital audio editor,Creator / developer,Software license,Microsoft Windows,MacOS,Linux,iOS,Android,Network storage,External hardware
ACID Pro,Magix,,,,,,,,
Ardour,The Ardour Community,GNU GPL,,,,,,NFS,
AudioDesk,Mark of the Unicorn,,,,,,,,
Audition,Adobe Systems,,,,,,,,
Bitwig Studio,Bitwig,,,,,,,,
Cakewalk by BandLab[1],BandLab Technologies,,,,,,,,
Cubase,Steinberg,,,,,,,,Requires hardware dongle
Digital Performer,Mark of the Unicorn,,,,,,,,
FL Studio,Image-Line,,,,,,,,
GarageBand,Apple,,,,,,,,
Harrison Mixbus,Harrison Consoles,,,,,,,NFS,
Kristal,Kreatives,,,,,,,,
Live,Ableton,,,,,,,,
LMMS,Tobias Doerffel,GNU GPL,,,,,,NFS,
Logic Pro,Apple,,Discontinued (last version: 5.5.1),,,,,,
Mixcraft,Acoustica,,,,,,,,
mp3DirectCut,Martin Pesch,,,,,,,,
MuLab,MuTools,,,,,,,,
MultitrackStudio,Bremmers Audio Design,,,,,,,,
MusE,MuseE,GNU GPL,,,,,,NFS,
n-Track,Fasoft,,,,,,,,
Nuendo,Steinberg,,,,,,,,
Podium,Zynewave,,,,,,,,
Pro Tools,Avid,,,,,,,MediaNet (proprietary),
Qtractor,Qtractor,GNU GPL,,,,,,NFS,
REAPER,Cockos,,,,,,,,
Reason,Propellerhead Software,,,,,,,,
Record,Propellerhead Software,,,,,,,,
Renoise,Renoise Team,,,,,,,,
Rosegarden,Rosegarden,GNU GPL,,,,,,NFS,
Samplitude/Sequoia,Magix,,,,,,,,
Soundscape 32,Mackie,,,,,,,,External 2U rack unit
Studio One,PreSonus,,,,,,,SoundCloud,
Tracktion,Tracktion Software Inc,,,,,,,,
Digital audio editor,Creator / developer,Software license,Microsoft Windows,MacOS,Linux,iOS,Android,Network storage,External hardware
