Word,Malaysian meaning,Indonesian meaning
msacara,event,"event program, agenda court examination"
msahli,"a member (of a group) (when the word is used by itself) (from Arabo-Persian "faahli" fa???? 'belonging to a group, people, indigenous or sim.'), expert in a field (from Arabo-Persian "fa'aqli" fa???? 'belonging to the intellect or mind, intellectual')",expert in a specific field
msakta (from Latino-Dutch acta),act (= law),act (= written legal document)
msawak,you (casual),"me / I (Used by speakers from Sumatra mainly Malays, people in Medan, etc.), crew (of transportation)"
msbaja,fertilizer,steel Malay: msbesi waja
msbanci,census (Indonesian: idsensus),"effeminate, transvestite homosexual (negative connotation)"
msbandar,city,port
msbangun,to develop/ wake up (from sleep),to build / wake up (from sleep)
msbapa,Father (male parent),specific to 'Father' (God) in religious context (Christianity) our Father which art in Heaven = idBapa kami yang di surga Father in Indonesian is idbapak (with an additional 'k' letter')
msbelanja,"to treat, giving something for free","to shop (note: also carries this meaning in Malay, though in a context more akin to "spend")."
msberbagi,to give,to share (something)
msberbual,to chat,to tell a lie
msbercinta,in (the essence of) love,"to make love, have sexual intercourse"
msberedar,"From the root word "msedar" which can means; to oscillate (planets only), to leave, or to distribute","to oscillate, to distribute"
msberlaku,"happen, occur",apply
msbiji,seed,"seed, testicles ("balls", offensive)"
msbila,when,"if, when (older version, almost obsolete)"
msbina,to build,to develop
msbisa,venom,"can/be able to (also understood but less frequently used in Malay) (same as "msboleh" in Malay), venom"
msbontot/buntut,buttock,"tail ('msekor' as commonly used in Malay, sometimes in Indonesia)"
msbudak,kid Indonesian:idanak or idbocah,slave
msbutoh/butuh,"male genitals, an offensive reference",need
mscadangan,"suggestion, opinion, proposal (example: mspeti cadangan = suggestion box) Indonesian:idsaran","reserve, spare (example: idban cadangan = spare tire)"
mscomel,"cute, pretty",(to call) someone who can not keep a secret (example: idmulutnya comel = her mouth can't keep a secret)
msdaripada,"A preposition that carries 5 meanings; from (to explain the origin of something) than (to do comparison) from (to protect from, to avoid from ) from (to state the sender of something) from (to state the differences)",than (comparison) (example: idKamus ini lebih baik daripada yang itu = This dictionary is better than that one)
msdetik,jiffy,second
msdoktor,doctor (medical); doctorate (educational title),"doctorate (educational title) In Indonesian, the equivalent for medical doctor is iddokter"
msduduk,"to sit, a place to live on (only used informally)","to sit, to occupy"
msemail,electronic mail (recently changed to "msemel"),enamel
msgampang,bastard from 'msanak gampang' lit. easy child.,easy (non-negative meaning)
msgetah,"rubber, plant sap",plant sap
mshemat,moral excellence,"frugal, pennywise, save money or something e.g. electricity, gas or water usage"
msibu negara,capital city,First Lady
msibu pejabat,head office,wife of an official
msjabatan,department,position
msjawatan,position,department
msjemput,"to invite, to pick up",to pick up
msjeruk,pickles/preserved fruits or vegetables,orange (fruit)
msjimat,"frugal, pennywise, save money or something e.g. electricity",amulet (the Malay equivalent is msazimat)
mskacak,handsome,"ber-kacak pinggang (stands with hands on your hips) The Malay equivalent is bercekak-pinggang, a phrase to mean that a person is being bossy"
mskadar,rate,"content, level"
mskakak,elder sister,elder sibling (either elder brother or sister)
mskakitangan,employee,subordinate (with negative meaning)
mskapan,or mskafan: Muslim burial shroud (mskain kafan/kapan),when (idkapan mau pulang? = when do you want to go home?)
mskarya,work of art (mskaryawan = artists),to work (idkaryawan = workers) result of work idKarya seni = work of art to create a piece of art.
mskerajaan,"government (historical association, most Malay states were governed by monarchs, from Raja = King, now refers to any kind of government)",kingdom
mskeranjang,'msbola keranjang' = basketball (no other use than for basketball),basket
mskereta,car,"vehicle, carriage, cart (idkereta api = train, idkereta kuda = horse carriage/cart, idkereta gantung = cable car)"
mskesal,regret Indonesian:idsesal,annoyed
mskhidmat,service Indonesian: idlayanan,fully concentrate
mskoneksi,'mskonek' = dick (slang/vulgar),connection Malay: msSambungan
mskonfeksi,"A soft solid made by incorporating a medicinal substance or substances with sugar, sirup, or honey","clothing industry, any fancy or luxurious women's clothes (Dutch: nlconfectie. A non-standard spelling sometimes used is: "idkonveksi")"
mskontrol,control,control examination checkup
mskurun,century,a long (time)
mslucu,funny,"funny, cute (slang)"
msmangsa,victim,prey (for animal)
msmengacau,"to disturb, to stir Indonesian: idmengaduk",to disturb
msolahraga,athletics (sport),sport
msoperasi,"mathematic operational symbol, tactical operation","mathematic operational symbol, police operation, operation/surgery (as in Dutch)"
mspajak,"to mortgage, pawn",tax
mspaket,packet,"packet, package (normally used for promotion purposes, as in Dutch)"
mspantas,speedily,"appropriate, 'no wonder'"
mspantat,"buttock (Sabahan Malay meaning), vagina/pussy (slang/vulgar)",buttock
mspegawai,high-rank officer/officials,officials
mspelan,"plan (associated with architectural work, site map etc. only)",slow (msperlahan in Malay)
mspenyelenggaraan,maintenance,organizing
mspejabat,office,"high-rank officer/officials (those who hold office, Malay (mspegawai))"
mspembangkang,opposition,"rebel (noun), insurgent"
mspemerintah,ruler,government
mspengacara,"master of ceremonies, host Indonesian: idpembawa acara",lawyer
mspengajian,studies Indonesian: idpelajaran,"mass recitation of Qur'an, (Islamic) teaching"
mspenganjur,organizer,promoter
percuma,"free of charge idpercuma can also mean free of charge in Indonesian, but its usage has become obsolete, replaced by idcuma-cuma/gratis (taken from Dutch: nlgratis = free)","useless, not needed"
msperhubungan,1. connection 2. communication,1. connection 2. transportation
mspetang,afternoon,evening
mspiawai,standard; correct msbahasa piawai = standard language,expert; skillful (on something)
mspijat,bugs (software bugs i.e. Year 2000 bug and also commonly referring to the bed bugs),massage Javanese jvpijet
mspohon,"tree, to plea or to beg (from basic word: "msmohon")",tree
mspokok,tree,"essential, basic, main mskebutuhan pokok = essential necessities"
mspolis,police,(insurance) policy (as in Dutch)
mspolisi,policy,police (as in Dutch)
mspunggung,buttock,back Malay: msbelakang
mspupuk,to nurture,fertilizer (also means 'to nurture' in the metaphorical sense of the word)
mspusing,"to go around a place, circular in motion, to spin/rotate Indonesian: putar","dizzy, confused, headache"
msputera,prince (Indonesian: idPangeran,son
msrambut,hair (for head only),hair
msrayuan,appeal (neutral),"flattery, seduction (emotional or sexual connotation)"
mssaat,second,jiffy
mssarjana,master's degree,bachelor's degree
mssederhana,"medium, normal","simple, easy"
mssenang,easy,"happy, relax"
msseronok,"good, enjoyable","in nonstandard usage: "impolite", "pornography-related"[42][43] idgambar seronok = porn picture"
mssulit,"confidential, difficult",difficult
mstambang,fare Indonesian: idtarif,"mine, rope (as idtali tambang)"
mstandas,toilet,"to explain, to finish"
mswakil,representative,"vice (for example, 'vice chancellor' and 'vice president'), representative"
