Name,CBC w/ predictable IVs,CBC w/ secret IVs,CBC w/ random per-sector keys,LRW,XTS,Authenticated encryption
Aloaha Crypt Disk,,,,,,
ArchiCrypt Live,,,,Legacy support[129],,
BestCrypt,,,,,,
BitArmor DataControl,,,Plumb-IV,,,
BitLocker,,,,,"Yes, Windows 10 10547+",
Bloombase Keyparc,,,,,,
CGD,,,,,,
CenterTools DriveLock,,,,,,
Check Point Full Disk Encryption,,,,,,
CipherShed,Legacy support[134],,,Legacy support[135],,
CrossCrypt,,,,,,
CryFS,,,,,,
CryptArchiver,,,,,,
Cryptic Disk,,,,,,
Cryhod,,,,,,
Cryptoloop,,,,,,
DiskCryptor,,,,,,
Dm-crypt / LUKS,,,,"Yes, using *-lrw-benbi[137]","Yes, using *-xts-plain","Yes, using --integrity mode[138]"
DriveCrypt,,,,,,
DriveSentry GoAnywhere 2,,,,,,
E4M,,,,,,
e-Capsule Private Safe,,,,,,
eCryptfs,,,,,,
EgoSecure HDD Encryption,,,,,,
FileVault,,,,,,
FileVault 2,,,,,,
FREE CompuSec,,,,,,
FreeOTFE,,,,,,
GBDE,,,,,,
GELI,,,,,,
Loop-AES,"single-key, multi-key-v2 modes[95]",multi-key-v3 mode[95],,,,
McAfee Drive Encryption (SafeBoot),,,,,,
n-Crypt Pro,,,,,,
PGPDisk,,,,,,
Private Disk,,,,,,
ProxyCrypt,,,,,,
R-Crypto,,,,,,
SafeGuard Easy,,,,,,
SafeGuard Enterprise,,,,,,
SafeGuard PrivateDisk,,,,,,
SafeHouse Professional,,,,,,
Scramdisk,,,,,,
Scramdisk 4 Linux,,,,,,
SecuBox,,,,,,
SecureDoc,,,,,,
Sentry 2020,,,,,,
Seqrite Encryption Manager,,,,,,
Softraid / RAID C,,,,,,
Svnd / Vnconfig,,,,,,
Symantec Endpoint Encryption,,,,,,
TrueCrypt,Legacy support[134],,,Legacy support[135],,
USBCrypt,,,,,,
VeraCrypt,,,,,,
CyberSafe Top Secret,,,,,,
Name,CBC w/ predictable IVs,CBC w/ secret IVs,CBC w/ random per-sector keys,LRW,XTS,Authenticated encryption
