Name,Organizing principle(s),Outline bulleting with indent,Tabbed sections,Sync,Web Clipping,PDF annotate and save [unclear],Whiteboard,Ink-pen input,Handwriting recognition,Spell check,Search,Replace in note,Printing,File save/export/import formats
AllMyNotes Organizer,Tree,,,,,,,,,,,,,"Proprietary, encrypted; import: plain text, RTF, CSV, images, HTML; exports: plain text, HTML, RTF, images"
BasKet Note Pads,"Tree, tags",,,,,,,,,,,,,Rich text; export as HTML; import text files
CintaNotes,"Notebooks, sections, tags",,,,,,,,,,,,,"Proprietary; export to Unicode text, XML and HTML"
ConnectedText,"Wiki, Tree and Categories",,,,,,,,,,,,,"Proprietary (SQL); Export to text, XML, CHM and HTML. Import from text, HTML, XML and RTF"
Day One,"Chronological, tags",,,,,,,,,,,,,"Markdown (in GUI), XML (data file); Export as: pdf, txt, md"
Evernote,"tags, Notebooks, Stacks",,,,,,,,,,,,,Imports and exports in Evernote XML.[7][8]
Gnote,Notebooks,,,,,,,,,,,,,"NoteXmlFormat, HTML, PDF"
Google Keep,"tags, colors",,,,,,,,,,,,,"Proprietary; export to Google Doc and thence to PDF, Word, ODT etc."
KeyNote NF,"Notebooks, notes and tree",,,,,,,,,,,,,"Internal: combination of TXT and RTF; import/export: TXT, RTF, HTML, Treepad"
Memonic,,,,,,,,,,,,,,Notes stored as XML; can attach any filetype
Microsoft OneNote,"Notebooks, notebook sections, section groups, tags (could be applied to content blocks)",,,,,,,,,,,,,Imports: Evernote XML.[13] Exports: OneNote binary format.[14]
MyInfo,"Tree, tags, custom attributes",,,,,,,,,,,,,"Proprietary, encrypted; import: plain text, RTF, CSV, MS Word, images, web pages; exports: plain text, HTML, RTF, CSV, MS Word"
MyNotex,,,,,,,,,,,,,,"Sqlite based, zipped attachments; export to HTML; copying as LaTeX; import text files, OpenOffice.org documents"
Okular,,,,,,,,,,,,,,"PDF, PS, TIFF, CHM, DjVu, DVI, XPS, ODF, others; export PDF+notes for sending to other Okular users"
Open-Sankoré,"tree, notebooks",,,,,,,,,,,,,"Save/export: PDF, IWB, UBZ; Import: PDF, IWB, UBZ, images, image directories"
Org-mode (Emacs),"tree, tags",,,,,,,,,,,,,"LaTeX, HTML, DocBook, Taskjuggler, PDF, Freemind, XOXO, iCalendar"
Outline,"Tree-structured notebooks, sections, pages",,,,,,,,,,,,,"MS OneNote format, export/import as PDF"
PDF Studio,,,,,,,,,,,,,,PDF
Personal Knowbase,tags,,,,,,,,,,,,,"Export to RTF, HTML, TXT, CSV"
Qiqqa,"tags, brainstorm",,,,,,,,,,,,,"Proprietary, PDF, Brainstorm; export to RTF and Word"
Simplenote,tags,,,,,,,,,,,,,Export to XML
TagSpaces,"tags, files, directories",,,,,,,,,,,,,"PNG, JPG, GIF, BMP, ICO, WEBP, SVG, PDF, HTML, MHT, MHTML, MARKDOWN, TXT, XML, JSON, OGG, OGV, WEBM, ODT, ODS, ODP, ODG, EPUB, ZIP"
TiddlyWiki,tags (wikiwords),,,,,Via plugin,,,,,,,,"HTML, json, txt,csv"
Tomboy,,,,,,,,,,,,,,"NoteXmlFormat, HTML, PDF, wiki-formats"
Ulysses,"Notebooks, sections, tags",,,,,,,,,,,,,Rich text; export as HTML; import text files; markdown editing.
Microsoft Windows Journal,,,,,,,,,,,,,,Proprietary
Zim,tags (wikiwords),,,,,,,,,,,,","Stored in modified DokuWiki Markdown; export: HTML, LaTeX, Pandoc Markdown, Sphinx RST (reStructuredText)"
Name,Organizing principle(s),Outline bulleting with indent,Tabbed sections,Sync,Web Clipping,PDF annotate and save,Whiteboard,Ink-pen input,Handwriting recognition,Spell check,Search,Replace,Printing,File save/export/import formats
