<<<<<<< HEAD
Attribute,Element,Trident,EdgeHTML,Gecko,WebKit,Presto
manifest,html,6.0[67],12,1.9,,2.6[68][69]
sizes,link,,13,8.0 (only mobile)[70][71],,
charset,meta,4.0[73],12,1.9.2,,2.5.24
scoped,style,,,21.0[74],,rowspan="6" 
async,script,6.0,12,1.9.2[76],,
reversed,ol,,,18.0[78],,
downloaddate=December 2014,"a,area",,13,20.0[80],,
sandbox,iframe,6.0[81],12,17.0[82],533[83],
seamless,iframe,,,,,
Attribute,Element,Trident,EdgeHTML,Gecko,WebKit,Presto
=======
Tag,Function,Introduced by,Alternative solution,Trident,Gecko,WebKit,KHTML,Presto
bgsound,Used to add sound to the background of a website,Internet Explorer,audio,3.0,,,,
blink,Used to display a blinking text,Netscape,"Javascript, CSS",,,,,1.0
bq,Used to display a blockquote,"WebTV, HTML 3.0",blockquote,,,,,
comment,Used to allow the addition of comments to HTML documents,"Internet Explorer, WebTV",<!-- ... -->,3.1,,,,
ilayer,Inline layers,Netscape (4 only),iframe,,,,,
image,Synonym of img,?,img,3.1,,,,
layer,Used to create multiple layers of text and images which lay on top of each other in a given order,Netscape (4 only),"CSS, AJAX",,,,,
marquee,"Used to display a scrolling, marquee-like text.","Internet Explorer, WebTV","JavaScript, CSS3",3.1,1.7,125,3.3,1.0
nobr,Prevents any line breaks from occurring within the flow of a text,Netscape[15][16],CSS,rowspan="2" 3.1,rowspan="2" ,rowspan="2" ,rowspan="2" ,rowspan="2" 
noembed,Displays an alternative text for browsers which do not recognize the embed tag,Netscape,Child elements of object used as fallback,,,,,
spacer,Adds whitespace in a layout,Netscape,CSS,,,,,
wbr,Placed inside a nobr element to add a line break,Netscape[15][16],Unicode character zero-width space (200B),Trident dropped support for wbr in version 5.0.[18]group=note,1.7,,3.1,
xml[19],"Includes XML data, either inline or from an URL, in an HTML page",Internet Explorer,"AJAX, possibly XML namespaces",3.1,,,,
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
