BitTorrent client,Known unpatched vulnerabilities,,,,,
,Secunia,,,,,SecurityFocus
,Extremely critical (number / oldest),Highly critical (number / oldest),Moderately critical (number / oldest),Less critical (number / oldest),Not critical (number / oldest),Total (number / oldest)
BitComet,0,0,0,0,0,0
BitLord,0,0,0,0,0, Unknown
BitTorrent,0,0,0,0,0,0
BitTorrent DNA,0,0,0,0,0,0
Deluge,0,0,0,0,0,0
FlashGet,0,0,0,0,0, 1 df=yes2008813br=yes
Free Download Manager,0,0,0,0,0,0
FrostWire,0,0,0,0,0, Unknown
KTorrent,0,0,0,0,0,0
Libtorrent (Rasterbar),0,0,0,0,0,0
LimeWire,0,0,0,0,0,0
Miro,0,0,0,0,0, 1 df=yes2008226br=yes
MLDonkey,0,0,0,0, 1 df=yes2003115br=yes, 1 df=yes2009223br=yes
?Torrent for Mac,0,0,0,0,0,0
?Torrent for Windows,0,0,0,0,0,0
Opera 12,0,0,0,0,0,0
Shareaza,0,0,0,0,0,0
Tixati,0,0,0,0,0, Unknown
Transmission,0,0,0,0,0,0
Vuze (formerly Azureus),0,0,0,0,0, 1 df=yes2006622br=yes
Xunlei,0, 2 df=yes2007928br=yes,0,0,0, 1 df=yes20071117br=yes
BitTorrent client,Extremely critical (number / oldest),Highly critical (number / oldest),Moderately critical (number / oldest),Less critical (number / oldest),Not critical (number / oldest),Total (number / oldest)
,Secunia,,,,,SecurityFocus
,Known unpatched vulnerabilities,,,,,
