English,Malaysian,Indonesian
ugly,"zsmhodoh, teruk, buruk","idjelek, buruk"
Ukraine,zsmUkraine,idUkraina
uncle,zsmpakcik,"idpaman, idoom, om (derived from Dutch, pronounced and sometimes spelt idoom)"
union,zsmkesatuan (in Indonesian means "unitary"),"idpersatuan, iduni, idserikat"
United Arab Emirates,zsmEmiriah Arab Bersatu,idUni Emirat Arab
United Kingdom,zsmUnited Kingdom,idBritania Raya
United Nations,zsmPertubuhan Bangsa-Bangsa Bersatu,idPerserikatan Bangsa-Bangsa
United States of America (USA) United States (US),zsmAmerika Syarikat,idAmerika Serikat (AS)
university,zsmuniversiti,iduniversitas
until,"zsmsehingga (means 'thus' in Indonesian), zsmsampai","idhingga, idsampai"
