English,Malaysian,Indonesian
want,zsmmahu,"idmau, idingin"
warden,"zsmwarden, zsmpenjaga penjara",idsipir (penjara) (from Dutch nlcipier)
Warsaw,zsmWarsaw,idWarsawa
website,"zsmlaman web, zsmlaman sesawang","idsitus web, idlaman web"
weekend,zsmhujung minggu,"idakhir pekan, idakhir minggu"
well (water hole),zsmperigi,"idsumur, idperigi (rarely used)"
wheelchair,zsmkerusi roda,kursi roda
when,"zsmbila, zsmapabila, zsmketika, zsmbilamana (rarely used)","idkapan, bilamana, (question word) idbila, ketika"
window,"zsmtingkap, zsmjendela","idjendela (from Portuguese ptjanela), idtingkap (less common)"
"windscreen, windshield",zsmcermin kereta,idkaca depan (mobil)
wire,"zsmdawai, zsmwayar","idkawat (e.g. copper wire), idkabel (e.g. electrical wire, cable)"
