English,Malaysian,Indonesian
vagina,"zsmfaraj (from Arabic, in Indonesian means "vulva"), zsmpepek/pepet (slang)","idalat kelamin wanita, liang peranakan, vagina, farji, memek (slang, vulgar), idpepek (slang, vulgar)"
variable (mathematics),zsmpemboleh ubah,"idvariabel, idpeubah"
Vatican City,zsmVatican City,id(Kota) Vatikan
Venice,zsmVenice,idVenesia (influenced by Dutch nlVenetië)
verb,zsmkata kerja,"idkata kerja (influenced by Dutch nlwerkwoord, idverba"
verification,zsmpengesahan (means "validation" in Indonesian),idverifikasi
very,"zsmsangat, amat, sekali","idsangat, amat, sekali, banget (from Javanese jvngoko)"
vice (deputy),zsmnaib,"idwakil, idnaib (less common)"
victim,zsmmangsa in Indonesian means "prey",idkorban
Vienna,zsmVienna,idWina (influenced by Dutch nlWenen)
violet (colour),zsmlembayung,"idviolet, idungu, idlembayung (rarely used)"
virgin,"zsm(anak) dara, (anak) gadis, perawan","idperawan (formal), idgadis, id(anak) dara"
viscosity,zsmkelikatan,"idviskositas, idkekentalan"
visit,"zsmlawatan, pelancongan","idwisata, idkunjungan, idpelancongan, idlawatan (to foreign country, an excursion), idbesuk (from Dutch nlbezoeken) (to someone sick)"
volleyball,zsmbola tampar,idbola voli
volume (math),zsmisi padu,"idvolume, idruang, idisi"
voucher,zsmbaucer,idvoucer
