English,Standard Malay (Malaysian),Indonesian
Cairo,zsmKaherah from Arabic arAl-Qahirah,idKairo
Cambodia,zsmKemboja,idKamboja
Cameroon,zsmCameroon,idKamerun (from Dutch nlKameroen)
camp,zsmkem,idkamp (reflects Dutch pronunciation)
campaign,zsmkempen,idkampanye (from Dutch nlcampagne (a French loanword))
can (to be able),"zsmboleh, zsmdapat","idbisa, iddapat,"
cancer,"zsmkanser, zsmbarah",idkanker from Dutch
capacitor,"zsmpemuat, zsmkapasitor","idkondensator, idkapasitor"
capital city,zsmibu negara,idibu kota
car,"zsmkereta (means carriage in Indonesian, commonly used as a shorthand for zsmkereta api, which means train. Malay followed English derivation of car which was a contraction of horseless carriage)",idmobil (from Dutch/mid-English automobile)
card,zsmkad,idkartu from Dutch nlkaart
career,"zsmkerjaya, zsmkarier",idkarier
Caribbean,zsmCaribbean,idKaribia
carrot,zsmlobak merah,"idwortel (from Dutch), idlobak merah[32]"
case,zsmkes,"idkasus, idhal"
cash,zsmwang tunai,"iduang tunai, idkas"
cashier,zsmjuruwang,"1. idkasir, from Dutch nlkassier 2. idjuru uang (rare)"
cavalry,zsmpasukan berkuda,"idpasukan berkuda, idkavaleri"
cement,zsmsimen,idsemen
censor,zsmtapisan (means "filter" in Indonesian),idsensor
census,zsmbanci (means "transvestite" in Indonesian),"idsensus, idcacah, idbanci (virtually never used in Indonesia, listed by KBBI)"
centipede,zsmlipan,"idkelabang, idlipan"
central,zsmpusat,"idpusat, idsentral, idtengah"
chaos (theory),zsmteori kekacauan,idteori kekacauan
chilli,"zsmcili, lada ('pepper' in Indonesian, also in Malaysian[33]), zsmcabai (used in the northern states of Malaysia)","idcabai, idlombok (from Javanese: jvlombok)"
China,"zsmChina, zsmCina","1. idTionghoa (standard term for Chinese people, from Southern Min Chinese: Tiong-hôa idTiongkok (idRepublik Rakyat Tiongkok and idRepublik Tiongkok: official name of the People's Republic of China and Republic of China, from Southern Min Chinese: Tiong-kok idCina (standard, still in common use but discouraged due to racist connotations. See Shina for further information.), 4. idChina (nonstandard)"
Christmas,"zsmKrismas, zsmNatal",idNatal from Portuguese
cinema,"zsmpanggung wayang bergambar (more popularly abbreviated as zsmpawagam), zsmpanggung wayang","1. idbioskop from Dutch nlbioscoop, 2. idsinema"
circuit,zsmlitar,idsirkuit
city,"zsmbandar, zsmbandaraya (big city), zsmkota","idkota, idbandar (a coastal or port city in Indonesian)"
civil,"zsmawam (In Indonesian, it means "non-expert"), zsmsivil",idsipil
claim,zsmtuntutan (means "sue" in Indonesian),idklaim idtagihan[34]
clarification,"zsmklarifikasi, zsmpenjelasan, zsmpenjernihan (to make something, e.g. water, clear in Indonesian)","idklarifikasi, idpenjelasan"
clause (legal),zsmfasal (equivalent term in Indonesian is idpasal),"idayat, idklausul"
club (association),zsmkelab,"idklub, idperkumpulan infrequent"
coach (carriage),zsmkoc,idgerbong
coat,zsmkot,idjas from Dutch nljas
cockroach,zsmlipas,"idlipas, idkecoa (from Southern Min Chinese: ka-choa?h 
coin,"zsmsyiling from English shilling zsmsiling from English shilling (rare) zsmmata wang, zsmwang logam, zsmduit from Dutch duit[35]","idkoin, idmata uang, iduang logam zsmduit from Dutch duit[36][37]"
college,"zsmkolej, zsmmaktab","idkampus, idkolese, idkolegium"
Cologne,zsmCologne,"idKöln, idKoeln"
Colombia,zsmColombia,idKolombia
comment,"zsmulasan, zsmkomen","idulasan (can also mean review, interpretation or comment), idkomentar (from Dutch nlcommentaar)"
commission,zsmsuruhanjaya,idkomisi (from Dutch nlcommissie)
commissioner,zsmpesuruhjaya,"idkomisaris (from Dutch nlcommissaris), idkomisioner"
committee,zsmjawatankuasa,"idkomite, idpanitia"
commonwealth,zsmkomanwel,idpersemakmuran
Comoros,zsmComoros,idKomoro
company,zsmsyarikat,"idperusahaan, idfirma, idmaskapai (from Dutch nlmaatschappij – almost exclusively used to refer to airline companies, i.e. idmaskapai penerbangan)"
compiler,zsmpenyusun,"idpenyusun, idkompilator"
complaint,zsmaduan,"idaduan, idkeluhan, idkomplain"
conclusion,zsmkesimpulan; zsmkonklusi (rare),"idkesimpulan, idkonklusi (from Dutch nlconclusie)"
condensation,"zsmpemeluwapan, zsmpengembunan, zsmpencecairan","idkondensasi (from Dutch nlcondensatie), idpengembunan"
conference,zsmpersidangan,"idkonferensi (from Dutch nlconferentie), idsidang"
confirmation,zsmpengesahan,"idkonfirmasi, idpengesahan of a document, idkepastian of a decision"
conflict,zsmpertikaian,"idkonflik, idpertentangan, idpertikaian"
Congo,zsmCongo,idKongo
conservation (movement),"zsmpemuliharaan, zsmkonservasi (rare)","idkonservasi, idpelestarian (of animals and plants)"
constitution of a country,zsmperlembagaan,"idundang-undang dasar (influenced by Dutch nlgrondwet ("basic law")), idkonstitusi (from Dutch nlconstitutie)"
construction,zsmpembinaan,"idpembangunan (of building), idpembinaan (of moral), idkonstruksi (from Dutch nlconstructie)"
consumption,zsmperbelanjaan,"idkonsumsi (from Dutch nlconsumptie), idpemakaian, idpenggunaan"
contamination,zsmpencemaran,"idpencemaran, idkontaminasi"
continuous,zsmselanjar,"idberkesinambungan, idberlanjut, idkontinu"
conversion,zsmpenukaran (means "exchange" in Indonesia),"idkonversi (from Dutch nlconversie), idperubahan"
corporation,zsmperbadanan,"idkorporasi (from Dutch nlcorporatie), idbadan usaha, idperusahaan"
corruption,"zsmrasuah (from Arabic: Rashwah meaning 'bribe'), zsmkorupsi (rare)","idkorupsi (from Dutch nlcorruptie), idrasuah (from Arabic: Rashwah meaning 'bribe')(non-standard)"
Costa Rica,zsmCosta Rica,idKosta Rika
counter,zsmkaunter,"idloket from Dutch, idkonter"
country,zsmnegara,"idnegara, idnegeri in Malaysia, zsmnegeri usually refers to a state within a federation"
court,zsmmahkamah,"idpengadilan, idmahkamah"
cracker,zsmkeropok,idkerupuk
criminal,zsmjenayah,"idpenjahat, idkriminal, idpidana (idahli pidana is criminal law expert)"
Croatia,zsmCroatia,idKroasia
crucial,zsmgenting,"idkrusial, idpenting, idgenting"
Cuba,zsmCuba,idKuba
cupboard,zsmalmari (from Portuguese ptarmário),idlemari also from ptarmário
"current (adjective, of time)",zsmsemasa,"idsaat ini, idkini, idterkini, idaktual (from Dutch nlactueel)"
current affairs,zsmhal ehwal semasa,"idaktualitas, idperistiwa terkini"
curtain,"zsmlangsir (means train wagon arrangement in Indonesian), zsmtirai","idtirai (used for all meanings apart from house curtain), idgorden (of a house; from Dutch nlgordijn)"
customs (authority),zsmkastam,"idpabean refers to the administrative institution, idbea dan cukai (idbea-cukai) 
cute,zsmcomel,"idimut, idmenggemaskan, idlucu"
Cyprus,zsmCyprus,idSiprus
Czech Republic,zsmRepublik Czech,id(Republik) Ceko
