Name,Primary developers,First public release,Based on,Latest stable version,,Cost (USD),Preferred license,Purpose,Short description
,,,,Version,Release Date,,,,
FreeBSD,The FreeBSD Project,1993-12iso,"386BSD, 4.4BSD-Lite",12.1,2019-11-04[37]iso,Free,Simplified BSD,"Server, Workstation, Network Appliance, Embedded",Aims to be usable for any purpose.
OpenBSD,The OpenBSD Project,1996-09iso,NetBSD 1.0,6.7,2020-05-19,Free,ISC,"Server, Workstation, Network Appliance, Embedded","Aims for maximum correctness in code, bringing simplicity and security."
NetBSD,The NetBSD Project,1993-05iso,"386BSD, 4.4BSD-Lite",9.0,2020-02-14iso,Free,Simplified BSD,"Server, Workstation, Network Appliance, Embedded",Aims for maximum portability.
DragonFly BSD,Matt Dillon,2004-07-12iso,FreeBSD 4.8,5.8.3,2020-09-24[38]iso,Free,Modified BSD,"Server, Workstation, Network Appliance, Embedded",Aims for maximum scalability.
386BSDgroup=Notea1,William and Lynne Jolitz,1992-03iso,4.3BSD Net/2,1.0,1994-11iso,Free,BSD,Open source general purpose,Historical
BSD/OS (BSD/386)group=Notea1,"BSDi, Wind River Systems",1993-03iso,"4.3BSD Net/2, 4.4BSD",5.1,2003-10iso,,Proprietary,General purpose,Historical
SunOSgroup=Notea1group=Notea2,Sun Microsystems,1982iso,"4.xBSD, UNIX System V[39]",4.1.4,1994-11iso,Included in hardware and support charges,Proprietary,"Server, Workstation",Historical (Solaris is a different code base)
Ultrixgroup=Notea1,Digital Equipment Corporation,1984iso,"4.2BSD, SVR2",4.5,1995iso,,Proprietary,General Purpose,Historical (ran on DEC VAX & MIPS systems or emulators).
RISCiX,Acorn Computers,1988,"4.3 BSD, Unix System V",1.31c,1993-09-07,Cost £1000 GBP (Approx $1400),Proprietary,Workstation,Historical (ran on Archimedes and R series Workstations)
"Tru64 UNIX (DEC OSF/1, Digital UNIX)","DEC, Compaq, HP",1993iso,"4.3BSD, 4.4BSD, Mach 2.5, UNIX System V",5.1B-6,2010-10iso,Cost $99 (non-commercial),Proprietary,General Purpose,Only runs on HP Alpha systems or emulators.
