English,Malaysian,Indonesian
half past one,zsmpukul satu setengah (one thirty),idpukul setengah dua (thirty to two)
hammer,zsmtukul,"idpalu, idmartil from Portugue ptmartelo"
Handball,zsmbola baling,idbola tangan
head office,zsmibu pejabat "zsmibu" also means "mother" or "ma'am" in both languages,"idkantor pusat ("idkantor" – from Dutch nlkantoor (office)), idmarkas"
"headscarf, hijab",zsmtudung,"idkerudung, idjilbab though these words have different meanings"
healthy,zsmsihat,idsehat
herb,zsmherba,"idjamu often understood as traditional potion made from rhizomes, also means "guest" ("idtamu") and "treat the guest" ("idmenjamu"), idherbal"
hexadecimal,zsmperenambelasan,idheksadesimal
hospital,zsmhospital,"idrumah sakit influenced by Dutch nlziekenhuis ("house of the sick") – This term is still used in Brunei, but in Malaysia, "hospital" has replaced the term completely since the 1960s"
Hungary,zsmHungary,"idHungaria, idHongaria substandard, influenced by Dutch nlHongarije"
hybrid (biology),zsmkacukan zsmhibrid,idhibrida
