Manjaro Linux,"Free, and nonfree",,Based on AUR[181],Pacman,.pkg.tar.xz,Calamares[198],,,iPXE
MEPIS,"Free, and nonfree",Based on Debian[184],,APT,.deb,MEPIS Install,,,
Musix GNU+Linux,Free only,1819,,APT,.deb,Debian-Installer,,,
OpenELEC,"Free, and nonfree",140[200],,"XBMCbuntu addon manager, own and 3rd party addons",.zip,,,,
openSUSE,"Free, and nonfree","wc -l on June 22, 2020, with default repositories plus packman.",34000,"YaST, Zypper",RPM,YaST,,,
OpenWrt,"Free, and nonfree",2000,,opkg,.ipk,-,,,
Parabola GNU/Linux-libre,Free only,23000[201],,Pacman,.pkg.tar.xz,None (third-party install scripts only) or Calamares,,,
Pardus,"Free, and nonfree",4000,,PiSi,.pisi,YALI,,,
Parsix,"Free, and nonfree",Based on Debian[184],14900,APT,.deb,,,,
PCLinuxOS,"Free, and nonfree",12000,,"APT, RPM",RPM,,,,
Puppy,"Free, and nonfree",700,,"PupGet, DotPup",".pup, .pet",,,,
Red Hat Enterprise Linux,"Free, and nonfree",3000 (plus 9155 from EPEL[202]),,"RPM, yum",RPM,Anaconda,,,
Rxart,"Free, and nonfree",Based on Debian[184],,APT,.deb,,,,
Sabayon Linux,"Free, and nonfree",Based on Gentoo,,"Portage, Entropy","ebuild, .tbz2",Calamares,,,
Scientific,"Free, and nonfree",Based on Fedora,,APT/yum,RPM,,,,
Slackware,"Free, and nonfree",2292,7705 from SlackBuilds[203],slackpkg,"tgz, .txz, .tlz, .tbz",bash script[204],,,
Slax,"Free, and nonfree",2050,,none,.lzm,,,,
SliTaz GNU/Linux,"Free, and nonfree",3381[205],,Tazpkg,.tazpkg,tazinst,,iPXE,iPXE
Solus,"Free, and nonfree",9500,,eopkg,.eopkg,os-installer,,,
Source Mage GNU/Linux,"Free, and nonfree",118,8876,Sorcery Package Manager,src,,,,
SUSE Linux,"Free, and nonfree",24094,11385,"YaST, Zypper",RPM,YaST,,,
Tiny Core Linux,"Free, and nonfree",25160,,"ab, tce-load",tcz,"tc-install, core2usb",,,
Tiny SliTaz,"Free, and nonfree",50,,Web site[206],tazpkg,,,,iPXE
Trisquel,Free only,52748[207],,APT,.deb,Ubiquity,,,
TurnKey GNU/Linux,"Free, and nonfree",Based on Debian[184] (plus ?30 custom packages),"21041From the Sources.gz files in the main, contrib and non-free sections of Debian Jessie. On the 2015-11-21, Debian Sid, the development release, have 24757 source packages. (currently TurnKey only supplies source code for custom packages)",APT,.deb,DI-Live (custom fork of Debian Installer),,,
"Ubuntu, Kubuntu, Xubuntu","Free, and nonfree",Based on Debian[184],"24474From the Sources.gz files in the main,universe, multiverse and restricted sections of Ubuntu Wily.",APT,.deb,Ubiquity,,,PXE
Ututo,Free only,5000,,UTUTO Package Manager,ebuild,,,,
Vector Linux,"Free, and nonfree",,,"slapt-get, gslapt, installpkg",tgz,,,,
Void Linux,"Free, nonfree and multilib",6000,6719,xbps,.xbps,ncurses script,,,
XBMC Live,"Free, and nonfree",,,APT,.deb,,,,
Zentyal,"Free, and nonfree",Based on Debian[184],,APT,.deb,dpkg,,,
Zenwalk,"Free, and nonfree",2000,,"netpkg, installpkg, upgradepkg","tgz, txz",,,,
Distribution,Free software repositories,Approximate number of pre-compiled packages,Approximate number of source packages,Default package management tools,Package format,Default installer,Graphical installation process,Netinstall,Netboot
