Name,Creator,Initial public release,Predecessor,Current stable version,Release date,"Cost, availability",Preferred license[1],Target system type
AIX,IBM,1986,UNIX System V Release 3,7.2 TL4,"2019, November",Bundled with hardware,,"Server, NAS, workstation"
Android,"Android, Inc., Google",2008,None,11,"2020, September 8",,"Apache 2.0, GNU GPLv2","Smartphone, tablet computer, education"
AmigaOS classic,"Commodore International, Haage & Partner, Hyperion Entertainment",1985,TRIPOS (as the disk operating component of AmigaOS),3.9 BB2,2002-03-20,"Discontinued; Bundled with hardware up to version 3.0 (Amiga International hardware came with 3.1); versions 2.1, 3.0, 3.1, 3.5, 3.9 also available as separate packages",","Workstation, personal computer"
AmigaOS 4,Hyperion Entertainment,2004,AmigaOS classic,4.1 Final Edition,2014,4.0 bundled with hardware; 4.0 for classic and 4.1 available as standalone package at €29,,"Workstation, personal computer"
ArcaOS,"Arca Noae, LLC",2017,OS/2,5.0.6,"2020, August 31",Personal edition 129.002020 Commercial edition 229.002020,,"Server, workstation, personal computer"
Chrome OS,Google,2009,Chromium OS,86.0.4240.77,"2020, October 13","Bundled with hardware, 32-bit edition dropped",,"Chromebook, Chromebox, Chromebase and tablets"
DragonFly BSD,Matthew Dillon,2003,FreeBSD,5.8.3,"2020, September 24",,BSD,"Server, workstation, NAS, embedded"
FreeBSD,The FreeBSD Project,1993,386BSD,12.1,"2019, November 4",,BSD,"Server, workstation, NAS, embedded"
Genode,Genode Labs,2008,None,19.05[2],"2019, May 29"," Free, source code only",AGPL,"Desktop, Embedded, Server"
GhostBSD,Eric Turgeon,2009,FreeBSD,19.10[3],"2019, October 26",,BSD,"Desktop, workstation"
eComStation,"Serenity Systems, Mensys BV",2001,OS/2,2.1,"2011, May 20",Home-student edition (max. three per site) $145.00 business edition $290.00,,"Server, workstation, personal computer"
EPOC32,Psion PLC,1996,,ER5,1999,Discontinued; Commercial,,PDA
GNU/Linux,"Notable contributors include: Richard Stallman for GNU Project and Linus Torvalds for Linux and the Unixes they emulated; Red Hat, Debian Project See: Comparison of Linux distributions and Linux Kernel#Development","1991 (kernel), See: Comparison of Linux distributions and History of Linux",None,5.8.9 (kernel),"2020, September 12 (kernel)",,GNU GPLv2 (kernel),See: Comparison of Linux distributions
Haiku,Haiku Inc.,2009,BeOS R5,R1/Beta 2,"2020, June 9",,MIT,Personal computer
HP-UX,HP (now Hewlett Packard Enterprise),1983,UNIX System V,11i v3 2020 Release,May 2020,US$400,,Server
IBM i,IBM,1988,OS/400,7.4,"2019, April 23",Bundled with hardware,,Server
Inferno,Bell Labs,1997,Plan 9,Fourth Edition,"2009, June 30",,"MIT, GNU GPL, GNU LGPL, LPL","NAS, server, embedded"
iOS,Apple Inc.,2007,macOS,14.0.1,"2020, September 24","Bundled with hardware and free updates given to most existing users, subject to hardware requirements",","Smartphone, music player, tablet computer"
