Client,Creator,First public release date,Latest stable version,Software license,Copy files over 2 GB[1]
ALFTP,ESTsoft,2000,5.31 20120201,Proprietary,
ExpanDrive (Mac),"ExpanDrive, Inc",2008,,Proprietary,
ExpanDrive (Windows) (formerly SFTPDrive),"ExpanDrive, Inc",2005,,Proprietary,
ForkLift,"BinaryNights, LLC",2007,3.4.2 20200826,Proprietary,
FTP Commander,Internetsoft Corporation,1997,9.21 20101108,Proprietary,
FTP Explorer,FTPx Corp.,"October, 1996",1.0.1.53; January 2012,Proprietary,
Interarchy,Nolobe Software Pty Ltd,1993 (as Anarchie),10.0.6 20140818,Proprietary,
Steed,"French Fry, SAS",2012,1.2.1.1169 20170627,Proprietary,
Transmit,"Panic, Inc.",1998,5.6.4 20200420,Proprietary,
WISE-FTP,AceBIT,1998,7.0 (Build 7.0.4) 20120316,Proprietary,
edtFTPj,Bruce P. Blackshaw,2000,2.3.0 20110826,Proprietary,
edtFTPnet,Bruce P. Blackshaw,2003,2.2.1 20110826,Proprietary,
