,Temporary table,Materialized view
4th Dimension,,
ADABAS,,
Adaptive Server Enterprise,,
Advantage Database Server,,
Altibase,,
Apache Derby,,
ClustrixDB,,
CUBRID,,
DB2,,
Empress Embedded Database,,
EXASolution,,
Firebird,,
HSQLDB,,
H2,,
Informix Dynamic Server,,
Ingres,,
InterBase,,
Linter SQL RDBMS,,
LucidDB,,
MariaDB,,
MaxDB,,
Microsoft Access (JET),,
Microsoft Visual Foxpro,,
Microsoft SQL Server,,
Microsoft SQL Server Compact (Embedded Database),,
Mimer SQL,,
MonetDB,,
MySQL,,
Oracle,,
Oracle Rdb,,
OpenLink Virtuoso,,
Pervasive PSQL,,
Polyhedra DBMS,,
PostgreSQL,,
Raima Database Manager,,
RDM Server,,
SAP HANA,,
solidDB,,
SQL Anywhere,,
SQLite,,
Teradata,,
UniData,,
UniVerse,,
,Temporary table,Materialized view
