Software,Platform,License,Latest version,Last release year,Size (MB)The size depends on chosen installation. The lower limit is for a minimal installation. The upper limit is for a full installation with all features.,Description,NumberNumber of editable tags,"Supported metadata standardsEXIF - Exchangeable image file format for digital still cameras GPS - The global positioning system IPTC - IPTC-NAA Information Interchange Model XMP - Extensible Metadata Platform Maker - Proprietary Maker Notes Other - Other standards, for example: IRB Adobe Photoshop image resource blocks, MPF - Multi-Picture Format R - Can Read tags E - Can Edit tags W - Can Write tags D - Can Delete tags",,,,,,"Supported file formatsJPEG - ISO/IEC IS 10918-1 1993(E) TIFF - Tagged Image File Format Raw - Proprietary raw formats Other - Other formats, for example: PSD Adobe Photoshop, DNG Digital Negative, JP2 JPEG2000 Yes - Format is supported",,,
,,,,,,,,EXIF,GPS,IPTC,XMP,Maker,Other,JPEG,TIFF,Raw,Other
A Photo Manager[3][4],Android,GPLv3,0.6.3.180211 (35),2018,1.3,Show/Edit GPS infos of local photos through a map.,,REW,REW,R,REW,R,R,,,,
Auto ISO Tool[5],Windows,Freeware,,2007,0.2,GUI for ExifTool to patch Canon ISO information.,2,W,-,R,-,R,-,,-,-,-
AvPicFaceXmpTagger[6],"Linux, Windows",Freeware,1.7,2010,3.7,Write Picasa face recognition information as XMP to your images.,,-,-,-,RW,-,-,,-,-,-
Caption Pro[7][8],"MacOS, Windows",Proprietary,1.7.0,2020,80,Uses facial recognition technology to assist in the automatic application of IPTC and XMP image metadata.,>50,-,-,RDEW,RDEW,-,RDEW,,,,
Daminion[9],Windows,Proprietary,6.4.0.2099,2019,"359 (Server) 77,7 (Client)","Updates EXIF/IPTC/XMP/ID3/Office metadata in video, audio, docs, camera raw and vector images. Uses ExifTool.",>70,REW,REW,REW,REW,R,REW,,,,
DBGallery[10],Windows,"Proprietary, Trial Available",7.5,2016,63,"Can update IPTC and XMP metadata in images, video, and audio. Uses Adobe's XMP Toolkit to read/write.",32,R,REW,REW,REW,-,-,,,,
Description Explorer[11],Windows,Freeware,0.5.2,2009,10.7,Collection of tools for XMP metadata.,15,-,-,-,EW,-,-,,-,-,-
Easy Exif Delete[12],Windows,Freeware,1.2,2010,0.8,Clean any EXIF unwanted data from your digital pictures.,,D,D,-,-,-,-,,-,-,-
EXIF-O-Matic[13],"Linux, MacOS, Windows",Freeware,1.2,2012,0.2,View EXIF tags.,,R,R,-,-,-,-,,-,-,-
ExifAuto[14],Windows,Freeware,2.2,2007,0.4,GUI front-end for ExifTool to perform simple operations.,5,EW,-,-,-,-,-,,,-,-
EXIF Browser[15],Windows,Freeware,0.9.9.16,2007,0.9,Extract EXIF information from image files.,,R,R,-,-,-,-,,,,
Exif Copier[16],Windows,Freeware,0.9,2010,5.0,Copy metadata between sets of multiple images using ExifTool.,,W,W,W,W,W,W,,,,
ExifCleaner[17],Windows,Shareware,1.8,2012,1.2,Lets you to erase/remove photographic metadata.,,D,D,D,D,D,D,,-,-,-
EXIF Date Changer[18],Windows,Freeware / Shareware,3.55,2017,7,"Allows you change the time, date, and other information stored in the metadata of your photos.",7,EW,-,EW,-,-,-,,,,
ExifDropper[19],Windows,Freeware,0.9,2009,0.1,Graphical front-end for ExifTool with drag-and-drop and command-line parameters.,>200,EW,EW,EW,EW,EW,EW,,,,
ExifMixer[20],Windows,Freeware,0.50,2008,0.4,GUI extension for the ExifTool with command-line parameters.,>200,EW,EW,EW,EW,EW,EW,,,,
