Format,Filename extension,DRM support,Image support,Table support,Sound support,Interactivity support,Word wrap support,Open standard,Embedded annotation support,Book- marking,Video support
Comic Book Archive,".cbr, .cbz, .cb7, .cbt, .cba",?,,,,,,,,,
DjVu,.djvu,?,,,,,,,,,
DOC,.doc,?,,,,?,,,?,?,
DOCX,.docx,?,,,,?,,,,?,
EPUB (IDPF),.epub,,,,,,,,,,
FictionBook,.fb2,,,,,,,,,?,?
HTML,.html,,,,,,,,,,
iBooks,.ibook,,,,,,,,,,
INF,.inf,,,,,?,,,,,
Kindle,.azw,,,,,,,,,,
Microsoft Reader,.lit,,,?,,,,,?,,?
Mobipocket,".prc, .mobi",,,,,,,,,,?
Multimedia EBook,.exe,,,?,,,,,,,?
Newton Book,.pkg,,,,,,,,,,
eReader,.pdb,,,?,,,,,,,?
Plain text,.txt,,,,,,,,,,
Plucker,.pdb,,,,,,,,,,?
Portable Document Format,.pdf,,,,,,,,,,
PostScript,.ps,,,?,,,,,?,?,
Tome Raider,".tr2, .tr3",,,?,,,,,?,?,?
OpenXPS,".oxps, .xps",?,,,?,,,,?,?,?
