Research Networking Tool,Data Source / Infeed Functionality,Auto Ingest?,Linked Open Data?,Data Export Types
Academic Room,Manual entry of data by users. May be some auto-ingest of PubMed citation data,Unknown,Unknown,Unknown
Activity Insight,"Information typically imported from the following sources: PubMed, Google Scholar, Scopus, Web of Science, RefWorks, Banner, Datatel, PeopleSoft, CampusVue, Jenzabar, Sedona, EndNote, Mendeley, Zotero, BiBTeX, a RESTful web services API, CSV Data Imports, etc. Also supports various methods of manual entry.",,,"RTF, XLS, CSV, PDF, HTML, XML"
C-IKNOW,"Network Surveys, automated upload for any kind of network data including archival, scientometric, webometric and computer log data. Also import data in GraphML, RDF, and DL (used by UCINET)",,,"RDF, XML/RDF"
PROFILES by Mentis (formerly Collaborative Partnership / Profile System),"Automated or on-demand import from PubMed, Google Scholar, Web of Science, Scopus, Banner, PeopleSoft, Web Services, Flat files and Manual Entry. Can be easily configured with any institutional subscription or database.",,,"RTF, XLS, CSV, PDF, HTML, XML, JSON"
Community Academic Profiles - CAP,"CAP automatically generates a profile for all faculty, physicians, students, postdocs and staff (both academic and administrative) in the School of Medicine. Data flows automatically from a variety of source systems.",,Unknown,Unknown
Converis,"Default connection to Clarivate Analytics Web of Science, Scopus, pubmed, europubmed, etc. Ay internal data feed (HR, finance can be configured)",,,"Excel (.xlsx), EndNote (.ciw), BibTex (.bib), XML, JSON, PDF, RTF"
Curvita Profile Manager,Information collected from university systems,,Unknown,Unknown
CUSP - Columbia University Scientific Profiles,Databases for employees and grants; PubMed for publications,,Unknown,Unknown
Digital Vita,"PubMed, some from HR system, direct input from investigators. System authenticates users through an application developed by the IT group that supports the Senior Vice Chancellor of Health Sciences; that system accesses the HR system for data about employees' rank and status (active or not), working with the grants office to get a regular report of data from their proposal database. Manually entered publications/presentations are automatically forwarded to co-authors.",,,"PDF, RTF"
Elsevier's Pure (now integrated with SciVal Experts),"Sources include Scopus, Web of Science, PubMed, Embase, Mendeley, arXiv, Worldcat, CrossRef, Journal TOC, CAB Abstracts, SAO/NASA Astrophysics Data System and SciVal Funding opportunities; Data from institutions' internal systems, including HR data, grants, publications, patents, core facilities/resources, etc. Researchers or proxy users can enter additional content into the profiles, including research statements, research interest keywords, publications, grants, patents, books, creative works, education, researcher datasets, press clippings, awards and honors; free text can also be imported. Integration with all major institutional repositories.",,,"XML, RDF, SPARQL, CSV, CERIF XML, MS Word, Excel, PDF, ATOM/XML web services, EndNote/Reference Manager, BibTex, various government assessment submission formats"
