Vehicle,Origin,Manufacturer,Payload mass to ... (kg),,,Orbital launches incl. failures[a],Date of flight,
,,,LEO,GTO,Other,,First[b],Latest
Alpha,United States Ukraine,Firefly Aerospace,"1,000[1]",,630 to SSO,0,2020[2],
Amur,Russia,,"10,500[3]",,,,2026[3],
Angara 1.2,Russia,Khrunichev,"3,500[4]",,"2,400 to SSO",0,2021[5][c],
Angara A5,Russia,Khrunichev,"24,000[4]","7,500 with KVTK 5,400 with Briz-M [4]",,1,2014,2014
Antares 230 / 230+,United States,Northrop Grumman,"8,200[7]",,"3,000 to SSO[d]",6[8],2016,2020
Ariane 5 ECA,Europe,EADS Astrium,"21,000[9]","10,865[10][e]",,76[12],2002,2020
Ariane 6 A62,Europe,ArianeGroup,"10,350[13]:45","5,000[13]:33","6,450 to SSO 3,000 to HEO 3,000 to TLI [13]:40–49",0,2022,
Ariane 6 A64,Europe,ArianeGroup,"21,650[13]:46","11,500+ [13]:33","14,900 to SSO 5,000 to GEO 8,400 to HEO 8,500 to TLI [13]:40–49",0,2023,
Astra,United States,Astra Space,100[14],,150 to SSO,1,2020[14],2020
Atlas V 401,United States,ULA,"9,050[15]","4,950","6,670 to SSO",38[15],2002,2018
Atlas V 411,United States,ULA,"9,050[15]","6,075","8,495 to SSO",6[15],2006,2020
Atlas V 421,United States,ULA,"9,050[15]","7,000","9,050 to SSO",7[15],2007,2017
Atlas V 431,United States,ULA,"9,050[15]","7,800","9,050 to SSO",3[15],2005,2016
Atlas V 501,United States,ULA,"8,250[15]","3,970","5,945 to SSO 1,500 to GEO",6[15],2010,2020
Atlas V 511,United States,ULA,"11,000[15]","5,250","7,820 to SSO 1,750 to GEO",0[15],2020,
Atlas V 521,United States,ULA,"13,300[15]","6,485","9,585 to SSO 2,760 to GEO",2[15],2003,2004
Atlas V 531,United States,ULA,"15,300[15]","7,425","11,160 to SSO 3,250 to GEO",3[15],2010,2013
Atlas V 541,United States,ULA,"17,100[15]","8,240","12,435 to SSO 3,730 to GEO",7[15],2011,2020
Atlas V 551,United States,ULA,"18,500[15]","8,700","13,550 to SSO 3,960 to GEO",11[15],2006,2020
Atlas V N22[f],United States,ULA,"13,000",,,1,2019[17],2019
Beta,United States Ukraine,Firefly Aerospace,"4,000[18]",TBA,"3,000 to SSO",0,TBA,
Bloostar,Spain,Zero 2 Infinity,140[19],,75 to SSO[19],0,TBA,
Blue Whale 1,South Korea,Perigee Aerospace,63[20],,50 to SSO,0,2021[21],
Ceres-1,China,Galactic Energy,350,,270 to SSO,1,2020,2020
Cyclone-4M,Ukraine,Yuzhnoye Yuzhmash,"5,000[22]","1,000[23]","3,350 to SSO[22]",0,2021[24],
Delta IV Heavy,United States,ULA,"28,790[25]","14,220","23,560 to polar 11,290 to TLI 8,000 to TMI",11[26],2004,2019
Electron,United States New Zealand,Rocket Lab,300[27],,200 to SSO[27],12[28],2017,2020
Epsilon,Japan,IHI[29],"1,500[30]",,590 to SSO,4[31],2013,2019
Eris-S,Australia Singapore,Gilmour Space Technologies,200[32],,,0,2021–2022[33],
Eris-L,Australia Singapore,Gilmour Space Technologies,450[32],,,0,TBA,
Falcon 9 Full Thrust (partially reusable),United States,SpaceX,"16,800+[34]","5,500[35][g]","9,600 to polar[37]",64[38][39][h],2015,2020
Falcon 9 Full Thrust (expended),United States,SpaceX,"22,800[35]","8,300[35]","4,020 to TMI",15[41][42],2017,2020
Falcon Heavy (partially reusable)[43],United States,SpaceX,"30,000[44]–57,000[45]","8,000[35]–10,000[i]",,3[46][47],2018,2019
Falcon Heavy (expended),United States,SpaceX,"63,800[48]","26,700[48]","16,800 to TMI[48]",0,– [j],
GSLV Mk II,India,ISRO,"5,000[49]","2,700[50][k]",,7[51],2010,2018
GSLV Mk III,India,ISRO,"10,000[52]","4,000",,3[53],2017[l],2019
H-IIA 202,Japan,Mitsubishi,"8,000[55]:67","4,000[55]:48","5,100 to SSO[m] [55]:64–65",26[56],2001,2020
H-IIA 204,Japan,Mitsubishi,,"5,950[55]:48",,4[56],2006,2017
H3,Japan,Mitsubishi,"4,000[57]","6,500[58]","4,000 to SSO[59]",0,2021[60],
Hyperbola-1,China,i-Space,300[61],,,1[62],2019[63][n],2019
Hyperbola-2,China,i-Space,"2,000[61]",,,0,2021[61],
Jielong 1[64],China,CALT,,,200 (SSO),1[64],2019,2019
Kaituozhe-2,China,CASC,800[65],,,1[65],2017,2017
Kuaizhou 1/1A,China,ExPace,400[66],,,9[66],2013[o],2019
Kuaizhou 11,China,ExPace,"1,500[67]",,"1,000 to SSO[68]",1,2020,2020
Kuaizhou 21,China,ExPace,"20,000[69]",,,0,2025[68],
LauncherOne,United States,Virgin Orbit,500[70],,300 to SSO[71],1,2020,2020
Long March 2C,China,CALT,"3,850 [citation needed]","1,250 with CTS2","2,000 to SSO with YZ-1S[72]",57[73][p],1982,2019
Long March 2D,China,SAST,"4,000",,"1,150 to SSO",46[73],1992,2020
Long March 2F,China,CALT,"8,600",,,13[73],1999,2016
Long March 3A,China,CALT,"6,000[74]","2,600","5,000 to SSO",27[75],1994,2018
Long March 3B/E,China,CALT,"11,500[74]","5,500","6,900 to SSO",53[75],2007,2020
Long March 3C,China,CALT,"9,100[74]","3,800","6,500 to SSO",17[75],2008,2019
Long March 4B,China,SAST,"4,200[76]","1,500","2,800 to SSO",35[76],1999,2019
Long March 4C,China,SAST,"4,200[77]","1,500","2,800 to SSO",28[76],2006,2019
Long March 5,China,CALT,,"14,000 [78]","15,000 to SSO[79] 9,400 to TLI[78] 6,000 to TMI[78]",4[79],2016,2020
Long March 5B,China,CALT,"25,000[79]",,,1[79],2020[80],2020
Long March 6,China,SAST,,,"1,080 to SSO[81]",3[82],2015,2019
Long March 7,China,CALT,"13,500[83]",,"5,500 to SSO",2[84],2016[85],2017
